set,celltype,sample_n,n_facs_events,ignore
InVitro1,NSC,1,500,FALSE
InVitro2,NSC,2,500,FALSE
Set1,qNSC,1,443,FALSE
Set1,aNSC,1,500,FALSE
Set1,aNSC,2,500,FALSE
Set1,Prog,1,500,FALSE
Set1,Prog,2,500,FALSE
Set1,Prog,3,400,FALSE
Set1,Neurob,1,500,FALSE
Set1,Neurob,2,500,FALSE
Set1,Neurob,3,500,FALSE
Set2,qNSC,1,500,FALSE
Set2,qNSC,2,500,FALSE
Set2,qNSC,3,500,FALSE
Set2,qNSC,4,500,FALSE
Set2,qNSC,5,500,FALSE
Set2,aNSC,1,500,FALSE
Set2,aNSC,2,500,FALSE
Set2,aNSC,3,500,FALSE
Set2,aNSC,4,500,FALSE
Set2,aNSC,5,500,FALSE
Set2,aNSC,6,500,FALSE
Set2,Prog,1,500,FALSE
Set2,Prog,2,500,FALSE
Set2,Prog,3,500,FALSE
Set2,Prog,4,500,FALSE
Set2,Neurob,1,500,FALSE
Set2,Neurob,2,500,FALSE
Set2,Neurob,3,500,FALSE
Set2,Neurob,4,500,FALSE
Set2,Neurob,5,500,FALSE
Set3,qNSC,1,500,FALSE
Set3,qNSC,2,500,FALSE
Set3,qNSC,3,500,FALSE
Set3,aNSC,1,500,FALSE
Set3,aNSC,2,500,FALSE
Set3,aNSC,3,500,FALSE
Set3,aNSC,4,500,FALSE
Set3,aNSC,5,500,FALSE
Set3,Prog,1,500,FALSE
Set3,Prog,2,500,FALSE
Set3,Prog,3,500,FALSE
Set3,Neurob,1,500,FALSE
Set3,Neurob,2,500,FALSE
Set3,Neurob,3,500,FALSE
Set3,Neurob,4,500,FALSE
Set3,Neurob,5,500,FALSE
Set4,Astro,1,500,FALSE
Set4,Astro,2,500,FALSE
Set4,Astro,3,500,FALSE
Set4,Astro,4,500,FALSE
Set4,Astro,5,500,FALSE
Set4,Oligo,1,500,FALSE
Set4,Oligo,2,500,FALSE
Set4,Oligo,3,500,FALSE
Set4,Oligo,4,500,FALSE
Set4,Oligo,5,500,FALSE
Set4,Epend,1,500,FALSE
Set5,Astro,1,500,FALSE
Set5,Astro,2,500,FALSE
Set5,Astro,3,500,FALSE
Set5,Astro,4,500,FALSE
Set5,Astro,5,500,FALSE
Set5,Astro,6,500,FALSE
Set5,Oligo,1,500,FALSE
Set5,Oligo,2,500,FALSE
Set5,Oligo,3,500,FALSE
Set5,Oligo,4,500,FALSE
Set5,Oligo,5,500,FALSE
Set5,Oligo,6,500,FALSE
Set5,Epend,1,125,FALSE
Set6,Astro,1,500,FALSE
Set6,Astro,2,500,FALSE
Set6,Astro,3,500,FALSE
Set6,Astro,4,500,FALSE
Set6,Oligo,1,500,FALSE
Set6,Oligo,2,500,FALSE
Set6,Oligo,3,500,FALSE
Set6,Oligo,4,268,FALSE
Set6,Epend,1,199,FALSE
