set	celltype	sample_n	n_facs_events	ignore
Set1	qNSC	Sample1	500	FALSE
Set1	qNSC	Sample2	474	FALSE
Set1	aNSC	Sample1	500	FALSE
Set1	aNSC	Sample2	500	FALSE
Set1	aNSC	Sample3	380	FALSE
Set1	TAP	Sample1	500	FALSE
Set1	NB	Sample2	500	FALSE
Set1	NB	Sample4	500	FALSE
Set1	NB	Sample5	500	FALSE
Set2	qNSC	Sample1	500	FALSE
Set2	qNSC	Sample3	369	FALSE
Set2	aNSC	Sample1	500	FALSE
Set2	aNSC	Sample2	500	FALSE
Set2	aNSC	Sample3	500	FALSE
Set2	aNSC	Sample4	345	FALSE
Set2	TAP	Sample1	500	TRUE
ctl	ctl	ctl	NA	TRUE
Set2	NB	Sample1	500	TRUE
Set2	NB	Sample2	500	TRUE
Set2	NB	Sample3	500	TRUE
Set2	NB	Sample4	500	TRUE
Set2	NB	Sample5	500	TRUE
Set3	qNSC	Sample1	500	FALSE
Set3	qNSC	Sample2	500	FALSE
Set3	qNSC	Sample3	415	FALSE
Set3	aNSC	Sample1	500	FALSE
Set3	aNSC	Sample2	500	FALSE
Set3	aNSC	Sample3	500	FALSE
Set3	aNSC	Sample4	376	FALSE
Set3	TAP	Sample1	500	FALSE
Set3	TAP	Sample2	500	FALSE
Set3	TAP	Sample3	500	FALSE
Set3	TAP	Sample4	500	FALSE
Set3	TAP	Sample5	500	FALSE
Set3	NB	Sample1	500	FALSE
Set3	NB	Sample2	500	FALSE
Set3	NB	Sample3	500	FALSE
Set3	NB	Sample4	500	FALSE
Set3	NB	Sample5	500	FALSE
Set4	AS	Sample1	500	FALSE
Set4	AS	Sample2	500	FALSE
Set4	AS	Sample3	500	FALSE
Set4	AS	Sample4	500	FALSE
Set4	AS	Sample5	500	FALSE
Set4	OL	Sample1	500	FALSE
Set4	OL	Sample2	500	FALSE
Set4	OL	Sample3	500	FALSE
Set4	OL	Sample4	500	FALSE
Set4	OL	Sample5	500	FALSE
Set4	EP	Sample1	500	FALSE
Set4	EP	Sample2	500	FALSE
Set4	EP	Sample3	339	FALSE
Set5	AS	Sample1	500	FALSE
Set5	AS	Sample2	500	FALSE
Set5	AS	Sample3	500	FALSE
Set5	AS	Sample4	500	FALSE
Set5	AS	Sample5	500	FALSE
Set5	OL	Sample1	500	FALSE
Set5	OL	Sample2	500	FALSE
Set5	OL	Sample3	500	FALSE
Set5	OL	Sample4	500	FALSE
Set5	OL	Sample5	500	FALSE
Set5	EP	Sample1	450	FALSE
Set6	AS	Sample1	500	FALSE
Set6	AS	Sample2	500	FALSE
Set6	AS	Sample3	500	FALSE
Set6	AS	Sample4	500	FALSE
Set6	AS	Sample5	500	FALSE
Set6	OL	Sample1	500	FALSE
Set6	OL	Sample2	500	FALSE
Set6	OL	Sample3	500	FALSE
Set6	OL	Sample4	500	FALSE
Set6	OL	Sample5	500	FALSE
Set6	EP	Sample1	210	FALSE
In vitro 1	NSC	Sample1	500	FALSE
In vitro 2	NSC	Sample2	500	FALSE
