celltype,AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
aNSC,AAV9_A2,3,0.2750043691779896,0.06806814851461541,0.2609509377883194,0.2380053851536599,0.30497663750748416
aNSC,AAV1_P5,3,0.11336420734876981,0.1266380042810302,0.05040000381752538,0.040474630821067295,0.15477168211085013
aNSC,AAVAH4-N9,3,0.10930989436594593,0.15420185619684013,0.042194683231885785,0.02111702822588,0.1639451549389818
aNSC,AAV1wt,3,0.06624096417612173,0.10413865728215507,0.012397606622162348,0.006222285555077522,0.09933796402018626
aNSC,AAV9_P4,3,0.06575804074821491,0.08160900140242036,0.03956548420482395,0.020013308660328594,0.09840649456440574
aNSC,AAV7_A2,3,0.06167732845441633,0.05333995240653512,0.08980778810455779,0.04498412171292223,0.09243576502098116
aNSC,AAV5_A2,3,0.05716193297155942,0.09877484882837878,2.025261496099234e-4,1.342610308175403e-4,0.08570990150132655
aNSC,AAV9_A6,3,0.044075912019509784,0.03890325183227554,0.05699900644569146,0.02867735239882694,0.06593601885328346
aNSC,AAV7_A1,3,0.03769111434199459,0.032490862168375975,0.055238152869534665,0.027718798414941518,0.05643694953281771
aNSC,AAV7_P2,3,0.025655941806802664,0.044362535888068884,5.990177601863247e-5,4.322158037823724e-5,0.03847064201783508
aNSC,AAVrh10_A2,3,0.024591909441281593,0.042216972779681075,3.661607562813349e-4,2.1807878618168472e-4,0.03685286575388137
aNSC,AAV1_P4,3,0.015145742878308015,0.020150887282149903,0.00728824056121547,0.0036977893711036876,0.02266494522696607
aNSC,AAV8_P5,3,0.013207551082966246,0.02286605121672925,6.177480350444905e-6,5.830259205900023e-6,0.01980858510541869
aNSC,AAV8_P4,3,0.01039206626197314,0.017960298795662945,3.775529876249297e-5,2.2686567204812953e-5,0.015584290475136145
aNSC,AAV7_P4,3,0.010192796687730434,0.013168128141252637,0.005366529083681057,0.0027426339777105262,0.015229825595725653
aNSC,AAV5_A6,3,0.009262133342122229,0.015254070046433631,8.644959461317546e-4,4.583146678074196e-4,0.013867133318441803
aNSC,AAVpo1_A2,3,0.008783589190265095,0.015118863560732436,6.930694336055249e-5,5.471331010138415e-5,0.013155323946976534
aNSC,AAVAH4-3,3,0.008138688869053886,0.014088315628202034,4.969775979068875e-6,4.796049301448587e-6,0.012205722142268914
aNSC,AAV7_P5,3,0.00734978384460716,0.012660069323823015,5.850386800109628e-5,4.0496806194324054e-5,0.011013430894716963
aNSC,AAVB1,3,0.007120433605350535,0.012216727761798104,7.626259533893678e-5,6.71045252720797e-5,0.010651677180423192
aNSC,AAV1_A6,3,0.005660002344323036,0.009728966976918732,4.661399289943811e-5,4.2981032881157406e-5,0.008470329480053116
aNSC,AAVJEA3-H4,3,0.005054821380205254,0.008719922052220478,3.007821964000569e-5,2.0375152886352908e-5,0.007576896027241531
aNSC,AAVAH3-5,3,0.0043966727394663925,0.007585113570647002,2.4539366705947068e-5,1.7407313491002733e-5,0.00658987147906156
aNSC,AAV9wt,3,0.004362653857967852,0.007525379969982938,2.827759472579402e-5,1.787785537800206e-5,0.006540241728936674
aNSC,AAVJEA3-S7,3,0.0032194830681208943,0.0055723155370460105,2.7272849190825583e-6,2.305202027154897e-6,0.004828283042613728
aNSC,AAV7_A6,3,0.0030335325739348465,0.00514859823314734,1.0392614009142313e-4,6.109087802827018e-5,0.004541171052919711
aNSC,AAV6wt,3,0.0022768845912283556,0.003916455707232645,2.2667806768220157e-5,1.572139101308324e-5,0.00341093939921356
aNSC,AAV9_K3,3,0.0011837260284494945,0.002049456388941882,5.845851668566024e-7,4.7183239221029674e-7,0.0017754095028654597
aNSC,AAV9_A1,3,7.617692649516926e-5,1.4882993860862106e-5,7.38908600961476e-5,6.823004665729285e-5,8.298077313353486e-5
aNSC,AAV7wt,3,6.375239457871224e-5,2.5870467976952055e-5,5.604863221825228e-5,4.932875272529815e-5,7.432415525189636e-5
aNSC,AAV9_P5,3,6.237998609017823e-5,2.978840665932797e-5,7.270246096495331e-5,5.075291274043401e-5,7.916829687730999e-5
aNSC,AAVJEA2-H8,3,5.021237090412801e-5,1.564200060669725e-5,5.142385003934755e-5,4.2711853255083415e-5,5.8318628120782376e-5
aNSC,AAVpo1_A6,3,4.7633301962495565e-5,1.7433719642025286e-5,4.432219594264901e-5,3.820738593129425e-5,5.54036649837736e-5
aNSC,AAV4_P4,3,3.9007178964414713e-5,2.236265366881342e-5,4.5317641436385886e-5,2.974249516469084e-5,5.142709400012418e-5
aNSC,AAVAH3-N6,3,2.9712076967650162e-5,5.14628269063671e-5,0,0,4.456811545147524e-5
aNSC,AAVrh10_P4,3,2.8773232215797264e-5,3.832552834448684e-5,8.804378199834913e-6,6.679996996343649e-6,4.0882040427269706e-5
aNSC,AAV1_A2,3,2.7593512584777116e-5,1.2154340146589347e-5,2.3417268952504615e-5,2.074757210535625e-5,3.235133124806173e-5
aNSC,AAVJEA2-H17,3,2.305858447546377e-5,9.012718738791918e-6,2.428001752501552e-5,1.8888728356292203e-5,2.783915711941121e-5
aNSC,AAVpo1_P4,3,2.047535045275019e-5,2.1476345359866118e-5,8.112365302548937e-6,8.075994459016972e-6,2.6693213871382782e-5
aNSC,AAVrh10_P2,3,1.8820685297769615e-5,3.2598383169001555e-5,0,0,2.8231027946654422e-5
aNSC,AAV4_A1,3,1.786510787494624e-5,1.0011242797059487e-6,1.7895979678196816e-5,1.7372442217354344e-5,1.8373209434163427e-5
aNSC,AAV4_P5,3,1.6632186262202896e-5,1.105531162623853e-6,1.664044861566593e-5,1.6081497847492043e-5,1.718700585364527e-5
aNSC,AAV2wt,3,1.4260682892874922e-5,1.5573935999225365e-6,1.3578128494930661e-5,1.3369616565322937e-5,1.4810472021454775e-5
aNSC,AAVJEA2-H11,3,1.4170248859451846e-5,3.126669892531151e-6,1.5024229486606881e-5,1.2864772124368204e-5,1.5902715908113005e-5
aNSC,AAVAH4-1,3,1.3414794945283624e-5,2.4808116412073255e-6,1.2282341297209963e-5,1.1992318997636921e-5,1.4271044068893496e-5
aNSC,AAV2_A1,3,1.2554928947019351e-5,1.2083998083584983e-6,1.3244339677340636e-5,1.2201980589592788e-5,1.3252582669606558e-5
aNSC,AAV9K449R_PHP.S,3,9.38637732059571e-6,4.045340888154378e-6,1.0533596914725868e-5,7.712461796457892e-6,1.1633902641798608e-5
aNSC,AAVAH3-3,3,8.472949413948849e-6,1.719064982871185e-6,8.473940074354656e-6,7.613664694657793e-6,9.332729463442807e-6
aNSC,AAVAH4-N4,3,8.360439262685946e-6,8.452081771028805e-7,8.239474101622949e-6,7.910852519661279e-6,8.749543425179114e-6
aNSC,AAVDJYF,3,7.4081527270430765e-6,2.7261315491468764e-6,6.8587877852718505e-6,5.928663787003411e-6,8.612959196197128e-6
aNSC,AAV6shH10,3,7.1301296407122985e-6,1.6312075683919915e-6,7.386414150629944e-6,6.386182077402085e-6,8.002219458981335e-6
aNSC,AAVAH3-N4,3,7.033008817074005e-6,2.5100705114460693e-6,6.621584986251697e-6,5.687826232027136e-6,8.17247948670972e-6
aNSC,AAV5_P5,3,6.353655518879185e-6,2.1892664264413566e-6,6.119653313849135e-6,5.205221516445167e-6,7.3850884187981786e-6
aNSC,AAV3_P4,3,4.707645701966255e-6,2.0124946384363033e-6,4.6403047675328094e-6,3.684985736030351e-6,5.696635200685436e-6
aNSC,AAVrh10_A1,3,4.089749093657208e-6,1.1465409977281086e-6,4.650446915062686e-6,3.710604349412912e-6,4.749242748604243e-6
aNSC,AAVJEA2-D7,3,3.7816942839705925e-6,2.7531401018756657e-6,2.8383692454106246e-6,2.231292388697493e-6,4.860433659963708e-6
aNSC,AAV9BI,3,3.7615123995709096e-6,1.5235819592756885e-6,3.388554468110296e-6,2.923796796764557e-6,4.412749036646955e-6
aNSC,AAV8_A1,3,3.5483282676825876e-6,3.249287250017369e-6,2.1857421042179487e-6,1.693962231378413e-6,4.7214012222544426e-6
aNSC,AAV2_7m8,3,3.4796759917939047e-6,1.908093850348111e-6,3.27160281991665e-6,2.4778746567440613e-6,4.3774407409051205e-6
aNSC,AAVJEA3-S8,3,3.266397019804593e-6,4.670418392981156e-6,1.1833076173869295e-6,5.916538086934647e-7,4.8995955297068895e-6
aNSC,AAV8_A2,3,3.1459535498144937e-6,1.7180134529780793e-6,2.699937780303628e-6,2.197435169893376e-6,3.871464044980179e-6
aNSC,AAVAH4-N12,3,2.970865328465242e-6,1.175299925455087e-6,3.645081461421685e-6,2.629418290793546e-6,3.649420432615159e-6
aNSC,AAV6.2,3,2.691305858813658e-6,9.736671221421398e-7,2.547755054949981e-6,2.1725691804818535e-6,3.1382671352136242e-6
aNSC,AAV2_MTP,3,2.4627840955956005e-6,2.3346281508085653e-6,2.023396520568319e-6,1.201232756057273e-6,3.5046416476202876e-6
aNSC,AAV8_P2,3,1.8739190331548021e-6,1.1573307356583861e-6,1.809482410046452e-6,1.2798175822514354e-6,2.435802172503994e-6
