AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV1_P4,2,0.24712453278431312,0.019735002114101136,0.24712453278431312,0.2401471558735072,0.25410190969511903
AAV1_P5,2,0.15970028868601982,0.007643710059561167,0.15970028868601982,0.15699782907775003,0.16240274829428958
AAV6.2,2,0.05624440677715146,0.003560208749475665,0.05624440677715146,0.0549856829025545,0.05750313065174842
AAVDJ,2,0.04875463973164508,0.0069915645981480585,0.04875463973164508,0.046282748362417934,0.051226531100872226
AAV1_A2,2,0.04774933840337459,0.006972836506449527,0.04774933840337459,0.045284068414466805,0.05021460839228238
AAV6shH10,2,0.04610316531925694,0.006643243013617376,0.04610316531925694,0.043754424227257435,0.04845190641125644
AAV6wt,2,0.03831625197061131,0.0032322874538337435,0.03831625197061131,0.03717346578193629,0.03945903815928633
AAV9_K3,2,0.03188250201656268,0.001378081827816131,0.03188250201656268,0.03139527651382331,0.03236972751930205
AAV7_P2,2,0.029836650706452007,0.0042262331765806,0.029836650706452007,0.028342451637434152,0.031330849775469856
AAVJEA3-S7,2,0.029381860279742773,0.0034322247220884305,0.029381860279742773,0.028168385591970352,0.030595334967515195
AAVDJYF,2,0.026583620711500593,0.0043344570459344514,0.026583620711500593,0.025051158726529563,0.028116082696471624
AAV8_P2,2,0.02639075520472007,0.0016218822012925127,0.02639075520472007,0.025817333253310218,0.02696417715612992
AAVAH4-N1,2,0.025938194687870533,4.304517144606056e-4,0.025938194687870533,0.0257860070247363,0.02609038235100477
AAV2_7m8,2,0.022694663207049097,0.0034122796386187528,0.022694663207049097,0.021488240171163048,0.023901086242935146
AAVAH4-3,2,0.020866931711888213,0.003789056997052843,0.020866931711888213,0.019527297763429013,0.022206565660347413
AAV1_A1,2,0.01868861632128969,0.0030208094196394995,0.01868861632128969,0.017620598908640046,0.019756633733939336
AAV1_A6,2,0.016541961841541122,5.058319615015767e-4,0.016541961841541122,0.016363123236481793,0.01672080044660045
AAVJEA3-D2,2,0.014924927778075733,7.302849649309436e-4,0.014924927778075733,0.014666733052625107,0.015183122503526356
AAV6_P4,2,0.013927942051953902,0.005135458550655872,0.013927942051953902,0.012112283269118299,0.015743600834789505
AAV7_A2,2,0.010903925205489096,0.003925687511339579,0.010903925205489096,0.009515985075445318,0.012291865335532875
AAVrh10_A2,2,0.008235774408663011,0.002376149819746663,0.008235774408663011,0.007395678583333981,0.00907587023399204
AAVrh10_P2,2,0.007836390348273518,5.60527074214862e-4,0.007836390348273518,0.007638214100665525,0.008034566595881509
AAV7_A6,2,0.007403754326081214,0.0015160930919167154,0.007403754326081214,0.006867734472979019,0.007939774179183408
AAV9_A2,2,0.0042788120152081706,0.0017813393898449769,0.0042788120152081706,0.0036490134341311256,0.0049086105962852155
AAVAH4-N4,2,0.0034561966802028445,4.4513015467906357e-4,0.0034561966802028445,0.0032988194047607537,0.0036135739556449357
AAVrh10_A6,2,0.002841877851692654,9.288555022624301e-4,0.002841877851692654,0.0025134778394965535,0.0031702778638887544
AAV5_A2,2,0.002037624951443554,0.001063334314554656,0.002037624951443554,0.001661679499198581,0.0024135704036885278
AAVrh10_P5,2,0.002019687045450969,0.0023648754735577223,0.002019687045450969,0.0011835773034437622,0.0028557967874581753
AAV2_P2,2,0.0019398939269309277,2.31488104203038e-5,0.0019398939269309277,0.0019317095865186286,0.0019480782673432268
AAV9_P1,2,0.0016055462282265332,5.310136935792699e-5,0.0016055462282265332,0.0015867720590448924,0.0016243203974081741
AAV9_P4,2,0.0015371708243668908,9.569914404026607e-4,0.0015371708243668908,0.0011988232558437892,0.0018755183928899923
AAV9_K1,2,0.0013239182685677651,3.5308713241000915e-4,0.0013239182685677651,0.0011990831157293502,0.0014487534214061798
AAV5_A6,2,0.001258880701623884,2.0425394022297285e-4,0.001258880701623884,0.001186666028516016,0.0013310953747317517
AAV7_P4,2,0.0011683273915497538,4.735796400756732e-4,0.0011683273915497538,0.0010008917040850572,0.0013357630790144504
AAV1wt,2,0.0011086490468488195,2.6794671046192207e-4,0.0011086490468488195,0.0010139155788666926,0.0012033825148309461
AAV9_A6,2,8.921945709490026e-4,5.640505354036166e-4,8.921945709490026e-4,6.927725916911025e-4,0.0010916165502069027
AAVAH3-5,2,7.189410617148696e-4,2.4150849032505812e-4,7.189410617148696e-4,6.335549161033825e-4,8.043272073263568e-4
AAVAH3-3,2,6.973997726050725e-4,3.05629268287358e-4,6.973997726050725e-4,5.893435085375357e-4,8.054560366726093e-4
AAV4_P4,2,6.535918881494867e-4,2.619185251113031e-4,6.535918881494867e-4,5.60989705537196e-4,7.461940707617775e-4
AAVB1,2,6.528536131312683e-4,3.0050449104290044e-5,6.528536131312683e-4,6.42229174961596e-4,6.634780513009406e-4
AAV8_P5,2,6.478328209944637e-4,2.575363301102529e-4,6.478328209944637e-4,5.567799782830352e-4,7.388856637058921e-4
AAV4_P5,2,6.219494248087163e-4,4.98212429510632e-4,6.219494248087163e-4,4.4580473111952e-4,7.980941184979127e-4
AAV4_A1,2,6.218532239645134e-4,2.0032323899999327e-4,6.218532239645134e-4,5.51028263601439e-4,6.926781843275878e-4
AAVrh10_P4,2,6.117827191929782e-4,1.464774180699106e-4,6.117827191929782e-4,5.599951313890129e-4,6.635703069969435e-4
AAV2wt,2,5.542939956028116e-4,5.699034445640386e-5,5.542939956028116e-4,5.341448660891715e-4,5.744431251164518e-4
AAVJEA3-S2,2,5.22934167042672e-4,6.162576697988007e-5,5.22934167042672e-4,5.011461681790244e-4,5.447221659063196e-4
AAV8_A2,2,4.846174773894974e-4,1.5835810157177504e-4,4.846174773894974e-4,4.2862943365088227e-4,5.406055211281126e-4
AAV8_P4,2,4.654104955466673e-4,6.731849569619258e-5,4.654104955466673e-4,4.416098131436397e-4,4.892111779496949e-4
AAVAH4-N9,2,4.6079652767425485e-4,7.402062988475728e-5,4.6079652767425485e-4,4.3462628300464914e-4,4.869667723438606e-4
AAVAH4-N3,2,4.4119609520246005e-4,5.395535194580108e-5,4.4119609520246005e-4,4.221199975813687e-4,4.602721928235514e-4
AAVrh10_A1,2,4.4018563111742454e-4,1.9204931051364235e-4,4.4018563111742454e-4,3.722859462242258e-4,5.080853160106232e-4
AAV4wt,2,4.153973357822568e-4,7.354530325966845e-5,4.153973357822568e-4,3.893951444525905e-4,4.413995271119231e-4
AAVM41,2,4.135621167449742e-4,2.528635308715729e-4,4.135621167449742e-4,3.2416135804794264e-4,5.029628754420058e-4
AAV8_A6,2,4.0367918806736387e-4,1.0001572020039662e-4,4.0367918806736387e-4,3.6831829107788545e-4,4.3904008505684224e-4
AAV4_L1,2,4.0332249943404177e-4,5.674276506854251e-6,4.0332249943404177e-4,4.013163397358797e-4,4.0532865913220383e-4
AAVAH4-6,2,3.972388272693675e-4,7.882172116870143e-5,3.972388272693675e-4,3.693711404977755e-4,4.251065140409595e-4
