AAV_ID,n,mean,sd,median,IQR_lower,IQR_upper
AAV9_A2,19,0.2617610117874354,0.2195393779403772,0.2150598325190004,0.12956419722623277,0.33825242407722145
AAV9_P4,19,0.07617884287698005,0.07811360574271216,0.03600607862629824,0.009592147574625185,0.1464330244987619
AAV1_P5,19,0.04599873423730686,0.060821741251298835,0.030549257824609214,0.002672828558634939,0.05809521986740005
AAV5_A6,19,0.043028401970753895,0.10570839512124353,1.005771651456463e-4,6.521466455806797e-5,0.03039803166238509
AAV7_A2,19,0.03843449314375984,0.05332240781913133,0.01567194561137972,1.2471682394778546e-4,0.05998125924833867
AAVrh10_A2,19,0.03729541422039461,0.06003445841367282,8.750266886359171e-5,6.132593843609133e-5,0.07064254378046222
AAV7_A1,19,0.036900193122333017,0.0595248884503977,0.013108954911637296,1.301827999003382e-4,0.04753810083725498
AAV5_A2,19,0.03547358568759583,0.05460712113179451,0.01019506711464469,8.057092635622683e-5,0.03438549654521414
AAV9_A6,19,0.03279240135635946,0.04049320584805818,0.030226278397556202,2.426615910923402e-4,0.05370926314801154
AAV9_P5,19,0.0269399628137505,0.07761977469924586,8.563413278966667e-5,5.0242094605154085e-5,0.014776343958565157
AAV9_A1,19,0.02622724409428261,0.046624157976539446,0.011848110712325454,7.126608078420482e-5,0.032384978080531396
AAV1wt,19,0.023204595182493692,0.04543193410143406,0.007542440979264336,1.461580740786191e-4,0.019489783560147838
AAV1_P4,19,0.021259928431627266,0.03914497632844842,0.00728824056121547,0.001150845282471597,0.0246055873779858
AAVAH4-N9,19,0.020990649937079178,0.06518615784088204,6.34542495840645e-5,4.744999758748394e-5,0.00930464444703851
AAV7_P4,19,0.02065353443550669,0.02225824600449791,0.015364905219812512,0.0024581644979913262,0.02597928826486228
AAV7wt,19,0.019709538760064108,0.07661762486301478,5.4901967773936186e-5,3.930410509017523e-5,9.206159470003432e-5
AAVpo1_A2,19,0.019373540146014948,0.04762802302461642,5.1361938699118603e-5,3.871786264414525e-5,0.022743075462093275
AAVJEA2-H8,19,0.017710833996879182,0.07444538628193806,3.399985647081927e-5,2.9959492032497518e-5,5.9516194456458156e-5
AAV7_P5,19,0.016927090277067475,0.032839936653255304,0.0033561949263912504,2.8162445969783732e-5,0.017908748435845535
AAVpo1_A6,19,0.014684418016385184,0.024910363006873555,5.6900791140754695e-5,4.117529005722708e-5,0.021118052888682542
AAVJEA3-H4,19,0.013299169861243335,0.04752843897555857,1.546477463214945e-5,1.0888022372111194e-5,0.005102680481892069
AAV4_A1,19,0.01305231673193642,0.03921942797032085,1.8850439190130035e-5,1.7215687337506037e-5,3.2234494518597556e-5
AAV4_P4,19,0.011571950956722652,0.0503063856391093,2.5498863581229973e-5,1.805777609146853e-5,4.3124254348620334e-5
AAV7_A6,19,0.01043595537581655,0.02125606150880991,1.0392614009142313e-4,1.7338197212574693e-5,0.008767275262068452
AAV2wt,19,0.009599057739474403,0.03410511361341718,2.0413662047827312e-5,1.3988282531143508e-5,3.207576712982272e-5
AAV7_P2,19,0.008586478090262202,0.018293556825080454,5.990177601863247e-5,2.8456395655731715e-5,0.008996976958732897
AAV1_A6,19,0.008423609081795786,0.03168608900408466,2.201227199022937e-5,9.494007873399469e-6,3.511268579526399e-5
AAV4_P5,19,0.007476426533828005,0.02705281792693819,1.9874005187759225e-5,1.6822758936407804e-5,2.8417263037394748e-5
AAV8_P4,19,0.007347641382741987,0.013285782750499851,1.259181094903981e-5,7.203322350602239e-6,0.007138234031747731
AAVpo1_P4,19,0.00608835059642698,0.01611449371888668,1.0226027537706709e-5,8.075994459016972e-6,3.7305438748792014e-5
AAVAH4-N4,19,0.005854393947433442,0.02150331266895742,1.1316495292689882e-5,7.910852519661279e-6,1.8094301230293937e-5
AAVB1,19,0.005026303642221569,0.011142216278156447,6.358284149920208e-5,4.4114606210901035e-5,0.0048460087085027605
AAV2_A1,19,0.004889940861231851,0.019161156978523462,1.300516895326865e-5,7.708590974262699e-6,2.5351091159452364e-5
AAV6wt,19,0.0042194064132569835,0.010942879403176814,1.827685554115822e-5,9.083675926093206e-6,0.0016936096766697825
AAVAH4-1,19,0.0039282036183146424,0.017071477143940816,1.2282341297209963e-5,6.541409706753723e-6,1.4061145797530151e-5
AAV9wt,19,0.003871013961520279,0.006014031881524498,2.827759472579402e-5,8.512059279020178e-6,0.007119026613550439
AAVJEA2-H11,19,0.0034149576457537852,0.01480295444674144,1.678120232961913e-5,1.275496284282042e-5,2.3806791376730635e-5
AAV1_A2,19,0.003178880982603314,0.00975061147047074,2.9291413241399644e-5,1.9826624054409195e-5,4.2369249643061635e-5
AAV8_P5,19,0.0030993291479710586,0.009396848246241148,5.669877364354288e-6,3.347373975719903e-6,2.564938526510632e-5
AAVrh10_P4,19,0.002713463632162109,0.010221211591427486,8.804378199834913e-6,6.677083009292911e-6,1.2200374531348504e-5
AAV3_P4,19,0.0026195510206294377,0.008474955345872353,4.666916669169075e-6,4.021556921011884e-6,6.788562117772243e-6
AAVJEA2-H17,19,0.0021390860037365906,0.00921030137120726,2.428001752501552e-5,1.6106901290306176e-5,3.219982347786048e-5
AAVAH4-3,19,0.0020333612882848756,0.006312723519879387,4.491717730743901e-6,3.039333950239917e-6,5.016875842162789e-6
AAVAH3-3,19,0.0019897564138445195,0.008622626554492132,1.019151885253096e-5,7.595405289739046e-6,1.1497042628001005e-5
AAV6shH10,19,0.0018750078772357885,0.006612613681437997,7.837566147153951e-6,5.893825939893192e-6,1.1462319194182043e-5
AAV5_A1,19,0.0016312688811949143,0.007097555790455874,2.180884229106053e-6,0,4.713936952239102e-6
AAVAH3-5,19,0.001534194938196248,0.004565621654573781,1.730987372775494e-5,1.202248159510044e-5,2.1680496389934053e-5
AAV1_A1,19,0.0013015024486881857,0.0056627209325973826,2.2592101519290566e-6,1.4119270455934911e-6,2.9023405630114612e-6
AAVrh10_A1,19,0.0012651566755486128,0.005484931249459014,3.0148920205151608e-6,2.5191889355446885e-6,4.656659986535045e-6
AAVpo1_P5,19,0.0012326162230648626,0.0031876184756595765,1.632251226003217e-6,4.5489041044298486e-7,2.3263831059079646e-6
AAV8_A2,19,0.001137363548497772,0.0034620035248812044,2.9854417475654116e-6,1.7062929604213216e-6,4.8137367543078654e-6
AAV8_A1,19,9.895716674471556e-4,0.004302646289837785,2.1857421042179487e-6,1.3059747743194151e-6,3.870903031309943e-6
AAV9K449R_PHP.S,19,9.518733156030871e-4,0.004092611851949024,1.0533596914725868e-5,7.331265491101991e-6,1.4648556254791707e-5
AAV9BI,19,9.195550781888953e-4,0.003983290255631447,4.733689455721953e-6,3.3408387845177276e-6,5.744006375247282e-6
AAV2_MTP,19,8.414068465929286e-4,0.0036511126698836427,2.861977466257273e-6,2.008636277821915e-6,4.83184859006947e-6
AAV5_P5,19,6.482989352305136e-4,0.0027889155616888793,7.81706795508407e-6,5.079072480386777e-6,9.546686422741806e-6
AAVAH3-N4,19,5.653141400321263e-4,0.0024306902542074525,6.621584986251697e-6,4.888962465079523e-6,9.182763458026024e-6
AAVJEA2-D7,19,5.537583547012994e-4,0.0023899234440272464,3.494825154431688e-6,1.2676360402688286e-6,5.980043850607785e-6
AAVJEA3-S7,19,5.102892708676e-4,0.002214212109706794,1.9271019858959678e-6,1.4127810685878284e-6,2.7999600153972023e-6
AAVDJYF,19,5.100023088246698e-4,0.0021891815440475237,6.8587877852718505e-6,4.60989822815836e-6,9.550049783391197e-6
AAVJEA3-H15,19,4.4183712013714756e-4,0.0019217073934483732,8.149208060703666e-7,3.1594911719736174e-7,1.8034803972947303e-6
AAV5_P4,19,4.386958176385159e-4,0.0019096790999395918,0,0,1.1552980886833337e-6
AAV6.2,19,3.207871712587761e-4,0.0010472301787186528,2.1493102681332255e-6,1.610785089673951e-6,3.1485892504674377e-6
AAVJEA3-S8,19,3.071985128900794e-4,0.0013274521292686214,2.172029673562893e-6,3.3951048085440716e-7,3.140614407321179e-6
AAVrh10_A6,19,3.004075405414159e-4,0.0013065678591050159,5.51900742196431e-7,2.4832577321120514e-7,9.245428278345426e-7
AAVAH4-N12,19,2.695917225732108e-4,0.0011617087018303282,3.615980366110904e-6,1.2143668482250497e-6,4.866695409722238e-6
AAV3_P5,19,2.605230567493281e-4,0.0011340988943194972,3.0103591194743906e-7,0,7.303080445477011e-7
AAVJEA2-H1,19,2.604307597279344e-4,0.001128385677466802,1.2655519551359574e-6,8.199861320705685e-7,1.7637473511733585e-6
AAV6_P4,19,2.3593589013447264e-4,7.039955075606462e-4,1.0786923824553186e-6,4.746508685733357e-7,1.2279155435704626e-6
AAV9_K3,19,1.8800400228345768e-4,8.142021323563879e-4,1.0619378892936632e-6,3.367713234583502e-7,2.3568575527186816e-6
AAVJEA2-D1,19,6.423624278365794e-5,2.7842862942462104e-4,3.441510386791449e-7,8.969656424137156e-8,6.26361542246694e-7
AAVAH3-N1,19,9.487947439241459e-6,3.6573830852870354e-5,9.54864096534029e-8,0,2.8741412436204336e-7
AAVJEA3-H3,19,6.408294916582538e-6,2.7933109941788697e-5,0,0,0
AAVAH3-N6,19,4.691380573839499e-6,2.0449253827056233e-5,0,0,0
AAV2_7m8,19,4.254166807362935e-6,2.4118968651385552e-6,3.658861549797594e-6,2.823278314720518e-6,5.21125307868148e-6
AAVrh10_P2,19,3.1163860555635635e-6,1.2921360421858874e-5,0,0,3.129199601509241e-7
AAVJEA3-S10,19,2.181810460344817e-6,9.481419504474359e-6,0,0,0
AAVDJ,19,1.612505500492023e-6,1.1651907561287497e-6,1.6748959951278497e-6,9.565852145707253e-7,1.9517579268534396e-6
AAV8_P2,19,1.2789240152809478e-6,1.2366787969242327e-6,7.59418747745889e-7,4.680051452449495e-7,1.7154254104122005e-6
AAVAH4-N1,19,1.0466316802999202e-6,1.7422716677001617e-6,5.018237129772329e-7,0,1.5056730850354006e-6
AAVJEA2-D3,19,9.904874356042518e-7,1.1506171605572882e-6,6.600957551072185e-7,0,1.7465371169054432e-6
AAV4_L1,19,9.122034199965669e-7,1.1024410844214378e-6,7.957894212198315e-7,0,9.879536606532002e-7
AAVJEA3-D4,19,6.061053223787348e-7,1.0875688103348505e-6,0,0,1.0277539894408599e-6
AAVJEA2-D10,19,6.040833793645555e-7,2.6331384041226396e-6,0,0,0
AAVAH4b-10,19,5.740512512526409e-7,4.176935014742261e-7,6.382017339412758e-7,3.065944530430259e-7,7.686115725227534e-7
AAVAH3-N5,19,4.314552597040238e-7,7.365569652978071e-7,1.863314633480147e-7,0,3.2242131068876525e-7
AAVAH3-21,19,3.841993715278159e-7,5.823715561595665e-7,1.6709983681905335e-7,0,4.5914659708800293e-7
AAVJEA3-D20,19,3.739949270997756e-7,9.551812493732068e-7,0,0,0
AAVJEA3-D2,19,3.6677162948217104e-7,6.240726818861053e-7,0,0,5.586473703910928e-7
AAVAH4-N11,19,3.3843193408433417e-7,4.035368161932571e-7,2.551568508504734e-7,0,5.607562002422685e-7
AAV3_A6,19,2.8709642342870033e-7,1.251424296777668e-6,0,0,0
AAV2_P2,19,2.1203366986091084e-7,5.939845652575849e-7,0,0,0
AAVAH3-N2,19,1.957839422718392e-7,8.534024191309486e-7,0,0,0
AAV3wt,19,1.933782042638036e-7,3.197186867021211e-7,0,0,2.6988259491033206e-7
AAV2_L1mut1,19,1.4327545860925458e-7,6.245232451671852e-7,0,0,0
AAVAH4-N3,19,1.3856573064963448e-7,4.300797134004003e-7,0,0,0
AAVJEA3-D16,19,1.2590055930704852e-7,3.496260399626914e-7,0,0,0
AAV5wt,19,1.1643773747579164e-7,4.0831307131668164e-7,0,0,0
AAVrh10wt,19,1.1503825573664755e-7,2.82065599375617e-7,0,0,0
AAV9K449R_PHP.A,19,1.1016893799090084e-7,3.3234820525910074e-7,0,0,0
AAV2_P5,19,1.0344007444172168e-7,4.508848312037891e-7,0,0,0
AAVJEA3-S5,19,8.837809912111074e-8,3.852312028911425e-7,0,0,0
AAVrh10_P5,19,8.235867898640879e-8,2.5819046006936817e-7,0,0,0
AAVJEA3-D5,19,6.690456269991909e-8,2.155353360160301e-7,0,0,0
AAV8_A6,19,6.336885342654165e-8,2.762184282543362e-7,0,0,0
AAVAnc80L65,19,6.028066368120009e-8,2.6275732123591363e-7,0,0,0
AAVAH4-6,19,5.3488837342771405e-8,1.6158411537981412e-7,0,0,0
AAV2_L1mut2,19,4.457296529848293e-8,1.9428905135003232e-7,0,0,0
AAVAH3-N12,19,3.524581855824037e-8,1.536329612777402e-7,0,0,0
AAVAH4-N7,19,3.431717794358321e-8,1.0948632245377208e-7,0,0,0
AAVAH3-N10,19,3.3110875523419756e-8,1.0531580188603366e-7,0,0,0
AAVAH3-10,19,3.0701031743635064e-8,1.3382269483293956e-7,0,0,0
AAV9K449R_PHP.eB,19,2.8056330122637807e-8,8.410312725673409e-8,0,0,0
