population	serotype	average	Set4	Set5	Set6
Epend	AAV1_P5	0.1423674910796416	0.15528519833819354	0.12366800211808635	0.14814927278264498
Epend	AAV9_A2	0.1117612795901527	0.10843660404979633	0.11197942038270234	0.11486781433795942
Epend	AAV7_P4	0.105206019777797	0.11372139330276584	0.09916219638961708	0.1027344696410081
Epend	AAV1_P4	0.08374135021919876	0.08552587072663215	0.07981738120606544	0.0858807987248987
Epend	AAVpo1_P2	0.05422361928380265	0.05006041868178618	0.06733455540156208	0.045275883768059695
Epend	AAV6_WT	0.0534886464644783	0.04144460040618963	0.04467281269673954	0.07434852629050571
Epend	AAVrh10_A2	0.047730625616127884	0.05097609388239256	0.0378292972609238	0.05438648570506728
Epend	AAVrh10_P2	0.03599731204738389	0.026890052327590525	0.046160242662295715	0.03494164115226543
Epend	AAV6_P4	0.035617824334978426	0.014701532360116258	0.06086333118624587	0.03128860945857315
Epend	AAV7_A2	0.03300557633833518	0.038878843844981116	0.02923460223741052	0.030903282932613903
Epend	AAV1_A6	0.031370480560828654	0.04256434198414151	0.01287953319621154	0.03866756650213292
Epend	AAV1_WT	0.028993596026356407	0.033995545270150807	0.02836759939239956	0.02461764341651885
Epend	AAV9_P4	0.0288364218360849	0.029681841531254017	0.03258772120001439	0.0242397027769863
Epend	AAV9_A6	0.02220185190600554	0.02170689542013047	0.024633036913201983	0.020265623384684163
Epend	AAV7_A6	0.0175700362997587	0.014391153642623796	0.017724802855620194	0.020594152401032118
Epend	AAV7_P2	0.01715107697882353	0.016336558603615305	0.0227768548748583	0.012339817457996982
Epend	AAV8_P4	0.011363849223311358	0.01104266978900662	0.012120802438613723	0.010928075442313731
Epend	AAV5_A2	0.011179886498354032	0.011085249546951611	0.010131032057268638	0.012323377890841845
Epend	AAV7_P5	0.011058952699542634	0.008847989333764704	0.011094280264676711	0.013234588500186488
Epend	AAVrh10_P4	0.010409919310099389	0.008117308401614398	0.014478426207120977	0.008634023321562791
Epend	AAVpo1_A6	0.008230413219708787	0.006834889364539194	0.009462380074496093	0.008393970220091073
Epend	AAV8_A2	0.00818351816935306	0.008705190493868076	0.01052566266623528	0.005319701347955822
Epend	AAV8_P2	0.007971893065251893	0.014777420226164899	0.00459370705041041	0.004544551919180372
Epend	AAV7_A1	0.007793275094516046	0.008757428465247165	0.006841872001767541	0.0077805248165334325
Epend	AAV3_P4	0.006808053366506572	0.007572133702628329	0.006713559965601097	0.00613846643129029
Epend	AAV5_A6	0.005154719331330207	0.004775964467898595	0.004330618593583576	0.0063575749325084484
Epend	AAVpo1_P4	0.004984546730953943	0.004780398959515743	0.004164949760725522	0.006008291472620563
Epend	AAV8_P5	0.004736180273113061	0.006061393583480243	0.0048219212879226925	0.003325225947936248
Epend	AAV9_P5	0.004468142832793959	0.004457723760756701	0.004288690668641658	0.004658014068983518
Epend	AAVpo1_A2	0.004069843299857465	0.003985063584141341	0.0035977289094953767	0.00462673740593568
