population	serotype	average	Set1	Set2	Set3
Neurob	AAV1_P5	0.11877154872534486	0.10614762107717474	0.14954698907857783	0.10062003602028201
Neurob	AAV9_A2	0.08827898587826152	0.08318167409496324	0.08329289284030857	0.09836239069951278
Neurob	AAVpo1_P2	0.08231224858240452	0.14978845053113798	0.061952621388512936	0.03519567382756265
Neurob	AAV1_P4	0.0798947862352766	0.07639159168630723	0.08824981297297557	0.07504295404654701
Neurob	AAV6_WT	0.07801382785955431	0.11438656886667044	0.054923204084894324	0.06473171062709816
Neurob	AAV6_P4	0.05796346971431064	0.04516412447121317	0.0499678127882006	0.07875847188351816
Neurob	AAV7_P4	0.05709943950699246	0.029742631535030206	0.05231662912276663	0.08923905786318054
Neurob	AAV1_A2	0.03311911209638858	0.0665653576557036	0.030350922365686983	0.0024410562677751537
Neurob	AAVrh10_A2	0.030691877173523233	0.029020730893074515	0.029994928827279478	0.03305997180021571
Neurob	AAVrh10_P4	0.029316464515009095	0.006949091528056833	0.07275453853822675	0.008245763478743699
Neurob	AAV7_P2	0.0274959647929734	0.02515791844891906	0.027955216557337743	0.0293747593726634
Neurob	AAV9_P4	0.026959382364190605	0.024545187633652026	0.029110237234113084	0.027222722224806706
Neurob	AAV1_A6	0.025798255816262904	0.02825134170826779	0.022778992881576633	0.026364432858944284
Neurob	AAV7_A2	0.02509639606390126	0.017365506440477418	0.023823759931993017	0.03409992181923334
Neurob	AAV9_A6	0.022964263753313	0.014596999938681573	0.02991036690273248	0.024385424418524954
Neurob	AAV1_WT	0.021179017618000402	0.022195826835380142	0.01817613212542598	0.02316509389319509
Neurob	AAVrh10_P2	0.01579901218002483	0.010989740249686472	0.006726590236743821	0.029680706053644198
Neurob	AAV4mut_WT	0.015007239373959086	6.957118704977716e-5	1.0553539331073133e-4	0.04484661154151675
Neurob	AAV6_P2	0.01327816015139855	8.434157069526334e-4	3.5352172410075774e-4	0.03863754302314226
Neurob	AAV7_P5	0.013175569010216225	0.018665270712074123	0.011856529552545967	0.009004906766028588
Neurob	AAV7_A6	0.01226750749950915	0.009239852708117708	0.011861764872287139	0.015700904918122604
Neurob	AAVpo1_A6	0.008818743762792057	0.005817332178001452	0.011040374397965815	0.009598524712408905
Neurob	AAV8_P5	0.008153858208431767	0.010800533387443755	0.008815223465133413	0.0048458177727181305
Neurob	AAV5_A2	0.008039914722717246	0.004496730005681192	0.010558001630271664	0.009065012532198881
Neurob	AAV1_A1	0.0077862022588138565	0.01397087773094314	0.008317647867399825	0.0010700811780986028
Neurob	AAV8_P4	0.0075492028367083255	0.006727261628623382	0.007555689703498087	0.008364657178003509
Neurob	AAV8_A2	0.006324208865721301	0.004477708783859312	0.007920139051039863	0.006574778762264727
Neurob	AAV4_P5	0.00606362126454447	0.012645840726863408	0.005110321537445124	4.347015293248777e-4
Neurob	AAV9_A1	0.0056138959098925925	0.005316237731753617	0.006066311087939917	0.005459138909984243
Neurob	AAV5_A6	0.0050614259501029065	0.008204833543362313	0.003605174916183693	0.0033742693907627135
Neurob	AAV9_P5	0.004989546528570967	0.004779296511966384	0.006394117947443034	0.0037952251263034817
Neurob	AAV8_P2	0.004919753683701617	7.214553909953963e-5	1.3104063909773471e-4	0.014556074872907577
Neurob	AAV7_A1	0.0047862176956331055	0.0027659875524939834	0.006631595790307271	0.004961069744098063
Neurob	AAVpo1_A2	0.004467309513465087	0.0013657775799748577	0.00756328968623798	0.004472861274182425
Neurob	AAVpo1_P4	0.004308148620170491	0.003415323170719424	0.005155669343014575	0.004353453346777474
Neurob	AAVrh10_A6	0.004171649970258438	0.005164651000706939	0.005147361488864647	0.0022029374212037284
