population	serotype	average	Set4	Set5	Set6
Oligo	AAV1_P5	0.12477579263035132	0.12382158695298834	0.11379549041137514	0.1367103005266905
Oligo	AAV9_A2	0.10189165414933585	0.09878268696218127	0.10543618633920643	0.10145608914661985
Oligo	AAV7_P4	0.08352295527744175	0.08722221026796856	0.08250173150534343	0.08084492405901324
Oligo	AAV1_P4	0.07959771781803987	0.08243350063549781	0.07938810843038384	0.07697154438823797
Oligo	AAVpo1_P2	0.07390366789427141	0.07939900400092495	0.08210754291672684	0.06020445676516244
Oligo	AAV6_WT	0.05717266434484201	0.050195614056883935	0.047290246254500276	0.07403213272314181
Oligo	AAV6_P4	0.044038088420832726	0.048378885880887276	0.04041854822880617	0.043316831152804734
Oligo	AAVrh10_P2	0.04081756117994656	0.027250084605171167	0.046834969772640934	0.04836762916202758
Oligo	AAVrh10_A2	0.040418389812842195	0.039326874020950045	0.03612769836478916	0.04580059705278738
Oligo	AAV1_P2	0.03448565145681824	0.029463039893008476	0.06255428604782622	0.011439628429620045
Oligo	AAV7_A2	0.03083034487539945	0.026097374218964835	0.027714835543282346	0.03867882486395117
Oligo	AAV9_P4	0.02709001816567913	0.029767058229403155	0.027328289215457692	0.024174707052176544
Oligo	AAV1_WT	0.0270711164951535	0.025881875809984432	0.025946344624054672	0.0293851290514214
Oligo	AAV1_A6	0.025121416272950493	0.02011628136070611	0.027732040713550402	0.02751592674459496
Oligo	AAV9_A6	0.01992338230514798	0.02140878377410774	0.0196291168485027	0.018732246292833498
Oligo	AAV7_P2	0.019518952894116183	0.022784992655486457	0.013197896677210967	0.022573969349651123
Oligo	AAV7_A6	0.014047369773027552	0.012231675100428023	0.017055737497542783	0.012854696721111853
Oligo	AAVrh10_P4	0.012877929346381439	0.013071114368166338	0.011973348025912685	0.013589325645065296
Oligo	AAV7_P5	0.010548425197816584	0.008976149334082697	0.011777085172757034	0.010892041086610025
Oligo	AAV8_P4	0.010214961339098825	0.010092751882349068	0.008516159867590273	0.012035972267357137
Oligo	AAV5_A2	0.009675094400152776	0.008991853956382322	0.009656632321194859	0.010376796922881147
Oligo	AAV8_P2	0.0093873873874143	0.008908509783601621	0.013849442479535857	0.005404209899105423
Oligo	AAV8_A2	0.008514695505605605	0.010611614720414674	0.007275993613937885	0.007656478182464259
Oligo	AAVpo1_A6	0.008213760451372863	0.008140642061327882	0.008263830717426757	0.008236808575363953
Oligo	AAV9_WT	0.007762984989395166	0.018517760115519793	0.0026851330470158393	0.0020860618056498664
Oligo	AAV1_A2	0.0068928594540026925	0.010507807211109901	0.0023200766562877155	0.00785069449461046
Oligo	AAV7_A1	0.005475282600610357	0.006819588863501356	0.005176499347764627	0.004429759590565088
Oligo	AAV3_P4	0.0052099739933782925	0.004275843852577657	0.00537854387090583	0.0059755342566513905
Oligo	AAV5_A6	0.005062670557630843	0.004774373105749729	0.005732628468736242	0.00468101009840656
Oligo	AAV8_P5	0.00490915293022797	0.00481563309323327	0.006894815617535062	0.003017010079915578
Oligo	AAV9_A1	0.004710006954091087	0.004632198812018301	0.004215708774597695	0.005282113275657264
Oligo	AAVpo1_P4	0.00438594312502017	0.0037242480045065153	0.005258328049841419	0.004175253320712577
Oligo	AAV9_P5	0.004216673066531314	0.004405617756970097	0.0036128801914612077	0.004631521251162638
Oligo	AAVrh10_A6	0.004166063239588626	0.003710169791283945	0.004399013341108648	0.004389006586373285
Oligo	AAVpo1_A2	0.003948948542506322	0.004111754427808213	0.0024917225401746425	0.0052433686595361115
Oligo	AAV1_A1	0.0037085535621338987	0.005454033982645073	0.004099782156115906	0.001571844547640717
Oligo	AAV7_WT	0.0028612259624465875	0.0025152541903104967	0.0030407960807077115	0.0030276276163215547
Oligo	AAV6_P2	0.0024516348416025457	0.0063609350856642126	9.93969439143424e-4	0
Oligo	AAVrh10_P5	0.002316253110489162	0.0019708469205674123	0.0014917284185939682	0.0034861839923061052
Oligo	AAV8_A6	0.0017901207893578543	0.003218869965549348	0.0010573989642739387	0.0010940934382502765
Oligo	AAVpo1_P5	0.001645248044012868	0.0016026377077825006	0.0013933536669311958	0.0019397527573249075
Oligo	AAV2_A1	0.0013761051423353441	0.0010470600484156858	6.610479199651129e-4	0.002420207458625234
Oligo	AAV2_WT	0.001297093541300294	9.098907816787031e-4	5.683119041414849e-4	0.002413077938080694
Oligo	AAV4mut_WT	0.0011894820960993203	5.438037528749599e-4	7.235940760115565e-4	0.0023010484594114446
Oligo	AAV2_A2	0.0011196874257164817	0.0018314859629253077	4.6834332353233647e-4	0.001059232990691801
Oligo	AAVrh10_A1	0.0010052078014131812	7.163474058763425e-4	0.0013122041970283006	9.870718013349003e-4
Oligo	AAV6_P5	9.692127087440414e-4	0.002463895409799522	4.437427164326026e-4	0
Oligo	AAV4mut_P4	9.332358888481376e-4	5.870586182115751e-4	0.0019204824508543721	2.9216659747846553e-4
Oligo	AAV4_P5	7.530900944227653e-4	4.3742867969640036e-4	4.1807611034937544e-4	0.0014037654932225199
Oligo	AAV5_P5	7.13718036486897e-4	8.831744423827743e-4	4.073910349037925e-4	8.505886321741239e-4
Oligo	AAV3_WT	6.768202961636135e-4	3.6371541596294613e-4	5.720067123057778e-4	0.0010947387602221162
