serotype	average	aNSC Set1	aNSC Set2	aNSC Set3	qNSC Set1	qNSC Set2	qNSC Set3	Prog Set1	Prog Set2	Prog Set3	Neurob Set1	Neurob Set2	Neurob Set3	Astro Set4	Astro Set5	Astro Set6	Oligo Set4	Oligo Set5	Oligo Set6	Epend Set4	Epend Set5	Epend Set6
AAV1_P5	0.12139119343027105	0.07030000071105932	0.10467763425473937	0.11539831549602056	0.12607782878819787	0.1273215138654754	0.11953622649253677	0.11111839046848111	0.09263267916836283	0.13192798273264997	0.10614762107717474	0.14954698907857783	0.10062003602028201	0.12560676725189932	0.12787157476494374	0.13900165073531243	0.12382158695298834	0.11379549041137514	0.1367103005266905	0.15528519833819354	0.12366800211808635	0.14814927278264498
AAV9_A2	0.09742025117157566	0.07357894205743667	0.09096828143847567	0.10052764192682039	0.0846896456426471	0.09099260691127607	0.10161089040943332	0.07945713968514248	0.10571171386423758	0.10688431463026898	0.08318167409496324	0.08329289284030857	0.09836239069951278	0.1065117830482355	0.09322821594360216	0.10586834019226253	0.09878268696218127	0.10543618633920643	0.10145608914661985	0.10843660404979633	0.11197942038270234	0.11486781433795942
AAVpo1_P2	0.09469302506176411	0.03234268972184951	0.09905628357243129	0.2595206065066815	0.16481857623007626	0.142158846752978	0.05995757329264305	0.24285249817849275	0.018335325613521206	0.029767436039586793	0.14978845053113798	0.061952621388512936	0.03519567382756265	0.13921428346931516	0.12318853627642896	0.04602226336160604	0.07939900400092495	0.08210754291672684	0.06020445676516244	0.05006041868178618	0.06733455540156208	0.045275883768059695
AAV1_P4	0.08358835879300862	0.06292138458227885	0.17955339888393568	0.05087510278203049	0.07008417508592632	0.0819475607196216	0.09778464734560921	0.0896758168236904	0.07271215057548057	0.09067653575056263	0.07639159168630723	0.08824981297297557	0.07504295404654701	0.06705335178397821	0.08499732685300247	0.07737252064951884	0.08243350063549781	0.07938810843038384	0.07697154438823797	0.08552587072663215	0.07981738120606544	0.0858807987248987
AAV7_P4	0.07301047428403	0.031648335438340613	0.05290375023866173	0.0660525979647182	0.050015285169355723	0.05058209698441551	0.09123363558683445	0.04831384450606159	0.055650969493465714	0.10126498684558717	0.029742631535030206	0.05231662912276663	0.08923905786318054	0.08897185240642659	0.07682554838731898	0.08227181325675012	0.08722221026796856	0.08250173150534343	0.08084492405901324	0.11372139330276584	0.09916219638961708	0.1027344696410081
AAV6_WT	0.05856145122792915	0.10275618564473454	0.0421720363708213	0.055722673678674915	0.018660979673347372	0.07898274309881166	0.0517737234884275	0.0442686291102381	0.06168161268587121	0.05762839148741562	0.11438656886667044	0.054923204084894324	0.06473171062709816	0.04712674634452509	0.052288005179509364	0.05070333301751166	0.050195614056883935	0.047290246254500276	0.07403213272314181	0.04144460040618963	0.04467281269673954	0.07434852629050571
AAVrh10_A2	0.03535335239894553	0.03470490566607756	0.02662124335042803	0.021657941459463734	0.026516741942014494	0.027034251123361466	0.03703473885612369	0.022752217889918967	0.04187670842297521	0.03346909471905513	0.029020730893074515	0.029994928827279478	0.03305997180021571	0.03598692920494572	0.044070815264070466	0.034172134671941634	0.039326874020950045	0.03612769836478916	0.04580059705278738	0.05097609388239256	0.0378292972609238	0.05438648570506728
AAV6_P4	0.0352768827912588	2.1036725213216705e-4	0.026822144385540453	0.03928318286503455	7.282281062529661e-4	0.009407761060275795	0.06214327775842773	4.0586037743794756e-4	0.0055674295754196855	0.06717191194197365	0.04516412447121317	0.0499678127882006	0.07875847188351816	0.04673338163135024	0.02310170659522866	0.04638113965699552	0.048378885880887276	0.04041854822880617	0.043316831152804734	0.014701532360116258	0.06086333118624587	0.03128860945857315
AAV1_A6	0.028780999775887727	0.030559610813410167	4.7899892860891867e-4	0.02206274636132104	3.5799720534930986e-4	0.06915265068116412	0.017310250528881747	0.07312652314330569	0.027450749587733664	0.030582631111377878	0.02825134170826779	0.022778992881576633	0.026364432858944284	0.025545169952628434	0.04391272249546212	0.016990486534273035	0.02011628136070611	0.027732040713550402	0.02751592674459496	0.04256434198414151	0.01287953319621154	0.03866756650213292
AAVrh10_P2	0.028639146156390804	0.014231328791021125	0.008695136102546736	0.026759486959372792	0.03839187707616528	0.014510101106816121	0.025475565337986374	0.00895512851288192	0.01901458488808388	0.03403258069182565	0.010989740249686472	0.006726590236743821	0.029680706053644198	0.04130100955499033	0.031251652766816816	0.06096196127363402	0.027250084605171167	0.046834969772640934	0.04836762916202758	0.026890052327590525	0.046160242662295715	0.03494164115226543
