population	serotype	average	Set1	Set2	Set3
qNSC	AAV1_P5	0.12431185638207001	0.12607782878819787	0.1273215138654754	0.11953622649253677
qNSC	AAVpo1_P2	0.12231166542523243	0.16481857623007626	0.142158846752978	0.05995757329264305
qNSC	AAV9_A2	0.09243104765445216	0.0846896456426471	0.09099260691127607	0.10161089040943332
qNSC	AAV1_P4	0.08327212771705238	0.07008417508592632	0.0819475607196216	0.09778464734560921
qNSC	AAV7_P4	0.0639436725802019	0.050015285169355723	0.05058209698441551	0.09123363558683445
qNSC	AAV6_WT	0.049805815420195514	0.018660979673347372	0.07898274309881166	0.0517737234884275
qNSC	AAVpo1_A2	0.045472355574247295	0.127599461576447	0.0039434177394733405	0.004874187406821536
qNSC	AAV7_P2	0.030358655581864215	0.04475454310364218	0.02414796199766387	0.02217346164428659
qNSC	AAVrh10_A2	0.030195243973833216	0.026516741942014494	0.027034251123361466	0.03703473885612369
qNSC	AAV1_A6	0.02894029947179839	3.5799720534930986e-4	0.06915265068116412	0.017310250528881747
qNSC	AAVrh10_P2	0.02612584784032259	0.03839187707616528	0.014510101106816121	0.025475565337986374
qNSC	AAV6_P4	0.024093088974985497	7.282281062529661e-4	0.009407761060275795	0.06214327775842773
qNSC	AAV9_P4	0.023668221846088078	0.01976337526847448	0.02300912187451726	0.028232168395272494
qNSC	AAV1_WT	0.02086927314826553	0.013758533115673897	0.019538317068601808	0.02931096926052088
qNSC	AAV9_A6	0.02060330148430207	0.01880400128261666	0.015923712324598615	0.027082190845690943
qNSC	AAV7_A2	0.020197867551459005	0.00420623508101897	0.02188734874164698	0.03450001883171106
qNSC	AAV8_P2	0.01678837413419707	0.024989947093645895	0.0032778413430673632	0.02209733396587795
qNSC	AAV1_A2	0.01619015155041373	0	0.04705349174125018	0.0015169629099910078
qNSC	AAV7_A6	0.014647497310494124	0.01586152001120873	0.009926910703571127	0.018154061216702516
qNSC	AAV1_A1	0.013184562414295923	0.030386999903495603	0.005803863126545672	0.0033628242128464943
qNSC	AAVrh10_P4	0.010690930310835923	0.005259674893513186	0.01230212470459189	0.014510991334402692
qNSC	AAVpo1_A6	0.00997596159411863	0.01305775607465776	0.005662398594303692	0.011207730113394435
qNSC	AAV8_P4	0.009022972962275909	0.004494129910051153	0.011257004254848607	0.01131778472192797
