population	serotype	average	Set4	Set5	Set6
EP	AAV9_A2	0.2849767663425664	0.24427353423414622	0.18823740460808858	0.4224193601854645
EP	AAV9_P4	0.17730727742599808	0.16694015473245247	0.15136445600709475	0.21361722153844706
EP	AAV9_P5	0.12870953755449088	0.003463861727313288	0.04213476780827564	0.3405299831278837
EP	AAVrh10_A2	0.07893363200898007	0.022688658513044403	0.21405105406880456	6.118344509123736e-5
EP	AAV4_A1	0.03741407655503382	0.1121992532651491	9.698513116250772e-6	3.327788683612512e-5
EP	AAV9_A1	0.03689959020838742	0.07101338832091979	0.039651486710461495	3.389559378097486e-5
EP	AAV5_A2	0.036045230206802545	0.042708902448182616	0.0653910225543473	3.5765617877727085e-5
EP	AAV9_A6	0.032399290377349906	0.030226278397556202	0.06687562507225311	9.596766224040139e-5
EP	AAV1_P5	0.02819972478576952	0.07775922203517417	0.0067673854369346455	7.256688519974182e-5
EP	AAV7_P4	0.02782628441952572	0.008258916936394831	0.05282653119274352	0.022393405129438805
EP	AAV7_A2	0.02364614694210258	0.0411402045804979	0.029758522729128125	3.971351668171663e-5
EP	AAV8_P4	0.02019523163524969	0.03954079356606354	0.021032309528736488	1.259181094903981e-5
EP	AAV5_A6	0.016411984221457218	5.8709055123280184e-5	0.049132204420420836	4.503918882753472e-5
EP	AAVpo1_P4	0.011916665125314876	1.159425147404505e-5	0.035729605123599864	8.796000870720608e-6
EP	AAV3_P4	0.011810746089267556	0.0349231051751967	5.051333273045057e-4	3.999765301460728e-6
EP	AAV7_A1	0.008036826097903084	0.023993321188785423	6.2926834616842e-5	5.423027030698751e-5
EP	AAVpo1_A6	0.007493562338861508	0.02242320754787506	3.8028384171805156e-5	1.9451084537659412e-5
EP	AAV9wt	0.005707483879230692	0.007446380860451436	0.009669466393853056	6.604383387584228e-6
EP	AAV1_P4	0.004860234858934403	0.006052780189535877	0.00848915410821172	3.8770279055613696e-5
EP	AAV8_A2	0.004263466072022329	0.012788680562705627	1.7176533613595189e-6	0
EP	AAV6wt	0.0042245458109598025	6.98392743496445e-6	0.012660254898290951	6.398607153492362e-6
EP	AAV1wt	0.003080790798078743	0.004100176088201107	0.0050980513382491	4.414496778602291e-5
EP	AAVrh10_P4	0.0022884430797259817	0.006850591560081059	1.1388309612553264e-5	3.3493694843325035e-6
EP	AAVrh10_A6	0.0018988643709992134	0.005695857053806627	7.36059191013409e-7	0
EP	AAVpo1_P5	0.0012320643661846247	0.003696193098553874	0	0
EP	AAV7_P5	9.284432798699316e-4	0.0027566469272134815	1.497805144981399e-5	1.3704860946499525e-5
EP	AAV7_P2	7.966191721041237e-4	0.002316931524307218	4.7379330721671594e-5	2.5546661283481786e-5
EP	AAV6_P4	7.640751161084713e-4	0.0022907206343235524	1.1627440670195546e-6	3.4196993484187717e-7
EP	AAVAH4-N9	6.680108138329885e-4	0.0019105076543653563	6.706939916496701e-5	2.6455387968642347e-5
EP	AAV7_A6	6.146912912024244e-4	0.0018197704684027411	1.1975832802584022e-5	1.2327572401948015e-5
EP	AAVB1	4.760182949192424e-5	7.439669127155565e-5	4.547908099423396e-5	2.29297162099831e-5
EP	AAVpo1_A2	3.0826219352271785e-5	3.333571438060018e-5	3.9875929608514874e-5	1.9267014067700306e-5
EP	AAVJEA2-H17	3.03896879110455e-5	5.1961733906974655e-5	2.2324173368914106e-5	1.6883156457247742e-5
EP	AAV7wt	3.0112293458666478e-5	6.78578815416374e-5	8.130908316347853e-6	1.4348090518014178e-5
EP	AAVJEA2-H8	2.7760411901200853e-5	3.2781270671066754e-5	2.893867409256177e-5	2.156129093997404e-5
EP	AAV4_P4	2.4441859832977735e-5	1.4271793124039348e-5	1.4739802998072203e-5	4.431398337682165e-5
EP	AAV1_A2	2.350374141345547e-5	4.901917942032438e-5	1.2045202928412624e-5	9.446841891629403e-6
EP	AAV4_P5	1.7282294925562208e-5	2.271719104799513e-5	8.688046107850084e-6	2.044164762084141e-5
EP	AAVJEA2-H11	1.7212590879389776e-5	4.45940686280425e-5	3.2363660797570716e-6	3.80733793036976e-6
EP	AAV2_A1	1.639588076384239e-5	9.259137777948805e-6	2.3651916352268605e-6	3.756331287835151e-5
EP	AAVAH3-5	1.5749654646949064e-5	2.2290072030370866e-5	1.881156604184846e-5	6.1473258686278604e-6
EP	AAV9K449R_PHP.S	1.5102424369698386e-5	2.6368761959146896e-5	1.4634436477991843e-5	4.304074671956418e-6
EP	AAV1_A6	1.455583566139147e-5	1.2898299161858256e-5	2.3028757242915457e-5	7.740450579400698e-6
EP	AAVAH4-N4	1.3582045566661807e-5	1.1316495292689882e-5	7.286197433697423e-6	2.2143443973598118e-5
EP	AAV2wt	1.3318832668928611e-5	1.4878045414361557e-5	8.359706062711775e-6	1.6718746529712503e-5
EP	AAVJEA3-H4	1.12819948433024e-5	1.110395861152226e-5	1.546477463214945e-5	7.2772512862354915e-6
EP	AAVAH3-3	9.02970549966932e-6	1.3549279716808906e-5	6.837082029904895e-6	6.7027547522941565e-6
EP	AAV5_P5	8.855605590119244e-6	3.920082571938866e-6	1.643287078108233e-5	6.2138634173365386e-6
EP	AAVAH4-1	8.694802197632806e-6	1.4882429761325733e-5	6.8013065885222045e-6	4.400670243050483e-6
EP	AAV6shH10	7.799738937321469e-6	1.32480204046184e-5	6.019993077680385e-6	4.1312033296656206e-6
EP	AAVDJYF	7.254486140331049e-6	1.2543661964676428e-5	4.543179850950099e-6	4.6766166053666215e-6
EP	AAVAH3-N4	6.4571561221055145e-6	9.18419243846879e-6	5.971949781922397e-6	4.215326145925358e-6
EP	AAV2_7m8	5.201251105740654e-6	3.560785249151068e-6	5.533374670353359e-6	6.509593397717535e-6
EP	AAV9BI	4.569401429431711e-6	8.996895320516024e-6	3.4448649278468133e-6	1.2664440399322962e-6
EP	AAVJEA2-D7	4.378062797432409e-6	1.0679073259893998e-5	2.455115132403228e-6	0
EP	AAV8_P5	3.781223218745759e-6	7.303439531822434e-6	7.081048172518696e-7	3.332125307162974e-6
EP	AAVAH4-N12	3.46197577974154e-6	8.320825647690403e-6	1.3002683848054914e-6	7.648333067287261e-7
EP	AAVAH4-3	3.1002596753942296e-6	1.3591872377212033e-6	4.655492565934555e-6	3.2860992225269313e-6
EP	AAV2_MTP	2.327381857528225e-6	1.993876035075511e-6	2.2919569454749795e-6	2.6963125920341853e-6
EP	AAVJEA2-D3	2.29896024991052e-6	1.1487926790498391e-6	2.641070270508942e-6	3.1070178001727785e-6
EP	AAVrh10_A1	2.2836651020810463e-6	1.5354250611042298e-6	2.82394938994964e-6	2.491620855189269e-6
EP	AAV1_A1	1.8956161348487378e-6	1.42988583372598e-6	2.894771425003533e-6	1.3621911458167005e-6
EP	AAVJEA3-S8	1.6691621945265952e-6	2.1287645953622665e-6	0	2.878721988217519e-6
EP	AAV5_A1	1.5517834548713676e-6	4.6553503646141026e-6	0	0
EP	AAVJEA3-D4	1.4419112689822443e-6	4.325733806946733e-6	0	0
EP	AAV6.2	1.4032620903510254e-6	2.2036256651463146e-6	4.7369121478677493e-7	1.5324693911199864e-6
EP	AAV4_L1	1.3243568926489116e-6	0	3.973070677946735e-6	0
