population	serotype	average	Set1	Set3
NB	AAV9_A2	0.27117916247890844	0.1901754370196225	0.35218288793819436
NB	AAV5_A6	0.2198263227941209	0.40572635295422343	0.033926292634018335
NB	AAV7_A1	0.1838784739995863	0.2375261710243338	0.13023077697483876
NB	AAV9_P4	0.06725757805336792	0.020250991171244313	0.11426416493549153
NB	AAV1wt	0.03212676119193085	0.03454816118728303	0.029705361196578673
NB	AAV7_P4	0.02866409108075863	0.0572640291509743	6.41530105429658e-5
NB	AAV9_P5	0.026849432342380047	3.869721180480684e-5	0.05366016747295529
NB	AAV1_P4	0.023248547301160827	0.0021943523839512884	0.04430274221837036
NB	AAV9_A6	0.02295541786745972	0.0029814389231117102	0.042929396811807734
NB	AAV7_A6	0.02118276002298274	0.02555375343450953	0.016811766611455947
NB	AAVpo1_A6	0.016889808217095716	1.5306079712800792e-05	0.03376431035447863
NB	AAV1_P5	0.014443388684238204	0.005014353797191747	0.023872423571284662
NB	AAV7_A2	0.012858953220546004	3.619096349160705e-5	0.0256817154776004
NB	AAV4_P5	0.01251085117661158	8.37789317040316e-6	0.025013324460052756
NB	AAVpo1_A2	0.010266883351607381	2.8427314609718035e-5	0.020505339388605045
NB	AAV5_A2	0.008750927469148025	2.5329603469603943e-5	0.017476525334826444
NB	AAV7_P5	0.006080920769547979	0.003519363628592563	0.008642477910503396
NB	AAV9_A1	0.005958376006898858	0.011848110712325454	6.864130147226204e-5
NB	AAVAH4-N9	0.005127998363144556	2.6250482249510607e-5	0.0102297462440396
NB	AAVJEA3-H4	0.003745298354858967	5.927798459545304e-6	0.007484668911258389
NB	AAV7_P2	0.0028976712879065286	1.6561880001518147e-5	0.005778780695811539
NB	AAV8_P5	0.00146556970308696	0.002925637631226894	5.50177494702619e-6
NB	AAV9wt	0.0013924092995674059	5.521808798775709e-6	0.002779296790336036
NB	AAVrh10_A2	4.4267118582976556e-5	2.4072659955210336e-5	6.446157721074278e-5
NB	AAVB1	4.0897631577966424e-5	2.5185605384990036e-5	5.6609657770942816e-5
NB	AAV7wt	3.842788623876585e-5	2.1953804703595508e-5	5.4901967773936186e-5
NB	AAVJEA2-H8	2.556820520300381e-5	1.9952502401247318e-5	3.11839080047603e-5
NB	AAV4_P4	2.3837227776800977e-5	1.563497047224059e-5	3.203948508136136e-5
NB	AAVJEA2-H17	2.3696108917778345e-5	1.199374068353513e-5	3.539847715202156e-5
NB	AAV1_A2	2.279825007291468e-5	1.1615203475829616e-5	3.398129666999974e-5
NB	AAVJEA2-H11	1.770310334388517e-5	9.362494952238718e-6	2.604371173553162e-5
NB	AAV4_A1	1.6982381361119673e-5	7.949444549717983e-6	2.601531817252136e-5
NB	AAV2wt	1.3834404537795003e-5	7.255147027762695e-6	2.0413662047827312e-5
NB	AAVAH3-5	1.2139872756696992e-5	5.139671045467141e-6	1.9140074467926844e-5
NB	AAV6wt	1.1212441472328904e-5	7.080568555297833e-6	1.5344314389359975e-5
NB	AAV2_A1	9.970349347106549e-6	6.158044170576591e-6	1.3782654523636508e-5
NB	AAV9K449R_PHP.S	8.622889503687644e-6	4.656961471762044e-6	1.2588817535613243e-5
NB	AAVrh10_P4	8.606225971798455e-6	8.785408377539702e-6	8.42704356605721e-6
NB	AAVAH4-1	8.392378335803182e-6	4.328615288743325e-6	1.245614138286304e-5
NB	AAV6shH10	8.17466074339439e-6	4.934323497538995e-6	1.1414997989249786e-5
NB	AAV1_A6	8.066394003347884e-6	6.09096903321354e-6	1.0041818973482227e-5
NB	AAVAH4-N4	7.990548853895551e-6	3.5130444152930594e-6	1.2468053292498044e-5
NB	AAVAH3-3	7.82294122101371e-6	5.274405051057061e-6	1.037147739097036e-5
NB	AAVAH3-N4	6.921188213390694e-6	6.2194589214359355e-6	7.622917505345452e-6
NB	AAVpo1_P4	6.139625746402295e-6	4.325989195501287e-6	7.953262297303303e-6
NB	AAV5_P5	5.945907279402289e-6	4.074746603720507e-6	7.81706795508407e-6
NB	AAVDJYF	5.740104416224868e-6	3.2857452906583537e-6	8.194463541791382e-6
NB	AAV8_P4	5.384953374426369e-6	3.981097694781198e-6	6.7888090540715405e-6
NB	AAV9BI	5.234590801731018e-6	4.733689455721953e-6	5.735492147740082e-6
NB	AAVJEA2-D7	4.812345308783704e-6	2.130723391713662e-6	7.493967225853745e-6
NB	AAV2_7m8	3.4745619876419324e-6	3.658861549797594e-6	3.2902624254862706e-6
NB	AAVAH4-3	3.284567622274536e-6	2.6935782031196474e-6	3.875557041429425e-6
NB	AAV2_MTP	3.2543515947710957e-6	3.6467257232849186e-6	2.861977466257273e-6
NB	AAV3_P4	3.14575273229887e-6	2.2481569240346995e-6	4.043348540563041e-6
NB	AAV5_A1	2.3862617699320514e-6	0	4.772523539864103e-6
NB	AAVDJ	2.2308955347640087e-6	2.7293673400358906e-7	4.1888543355244285e-6
NB	AAV6.2	2.122676877927013e-6	9.5924010097947e-7	3.2861136548745564e-6
NB	AAVJEA3-S7	2.101827678203764e-6	1.3310202446956823e-6	2.872635111711846e-6
NB	AAV8_A1	2.0571450971268243e-6	1.4097671900999529e-6	2.7045230041536955e-6
NB	AAV8_A2	1.936929643731744e-6	1.4907016569613297e-6	2.3831576305021577e-6
NB	AAVrh10_A1	1.7839668355915475e-6	1.0211766552829871e-6	2.546757015900108e-6
NB	AAV9_K3	1.7268382857821676e-6	5.112578000237921e-7	2.942418771540543e-6
NB	AAV5_P4	1.4340346351966238e-6	0	2.8680692703932476e-6
NB	AAVJEA3-D4	1.3993563253484566e-6	9.589827365558293e-7	1.8397299141410837e-6
NB	AAV1_A1	1.3057276190998215e-6	1.0049153471481748e-6	1.6065398910514684e-6
NB	AAVAH4-N12	1.2858554448342322e-6	1.1284653116446079e-6	1.4432455780238562e-6
NB	AAVJEA2-H1	1.0776722591545868e-6	3.046427267177458e-7	1.8507017915914278e-6
NB	AAV8_P2	1.0673182190711921e-6	3.159964480174166e-7	1.8186399901249675e-6
NB	AAVpo1_P5	7.615073932392093e-7	3.148782953191697e-7	1.2081364911592488e-6
NB	AAVJEA2-D3	7.484532931804934e-7	7.640361586660732e-7	7.328704276949135e-7
NB	AAV6_P4	7.328224374864257e-7	3.3637064503633776e-7	1.1292742299365137e-6
NB	AAVJEA3-H15	6.7793065164449235e-07	2.8031986272177466e-7	1.07554144056721e-6
NB	AAVAH4b-10	4.1146822417642376e-7	2.1222680564861317e-7	6.107096427042344e-7
NB	AAVAH4-N1	4.048441319957594e-7	0	8.096882639915188e-7
NB	AAVJEA3-S8	3.3951048085440716e-7	0	6.790209617088143e-7
NB	AAVAH3-N12	3.3483527630328355e-7	0	6.696705526065671e-7
NB	AAVJEA2-D1	2.6177208358094404e-7	1.7939312848274312e-7	3.441510386791449e-7
NB	AAV3wt	2.3163208801044433e-7	2.36454689103256e-7	2.2680948691763266e-7
NB	AAVAH4-6	2.2262922115766807e-7	0	4.4525844231533614e-7
NB	AAVAH4-N7	2.1954982106993392e-7	0	4.3909964213986783e-7
NB	AAVrh10_A6	2.085919226161274e-7	2.1293482537455206e-7	2.042490198577027e-7
NB	AAVAH3-21	1.722974741604842e-7	0	3.445949483209684e-7
NB	AAV2_P2	1.2185853939321443e-7	0	2.4371707878642885e-7
NB	AAVAH3-N10	1.0413978512326372e-7	0	2.0827957024652744e-7
NB	AAVrh10_P5	7.550575915229123e-8	0	1.5101151830458246e-7
NB	AAVAH3-N1	6.520397112698671e-8	0	1.3040794225397342e-7
NB	AAVJEA3-S10	3.693540603897505e-8	7.38708120779501e-8	0
NB	AAV12wt	0	0	0
NB	AAV2_A2	0	0	0
NB	AAV2_A6	0	0	0
NB	AAV2_BR1	0	0	0
NB	AAV2HBKO	0	0	0
NB	AAV2_L1	0	0	0
NB	AAV2_L1mut1	0	0	0
NB	AAV2_L1mut2	0	0	0
NB	AAV2_P4	0	0	0
NB	AAV2_P5	0	0	0
NB	AAV2YF	0	0	0
NB	AAV3_A1	0	0	0
NB	AAV3_A2	0	0	0
NB	AAV3_A6	0	0	0
NB	AAV3_P5	0	0	0
NB	AAV4_A2	0	0	0
NB	AAV4_A6	0	0	0
NB	AAV4_L1	0	0	0
NB	AAV4_P2	0	0	0
NB	AAV4wt	0	0	0
NB	AAV5wt	0	0	0
NB	AAV8_A6	0	0	0
NB	AAV8wt	0	0	0
NB	AAV9_BR1	0	0	0
NB	AAV9_K1	0	0	0
NB	AAV9K449R_PHP.A	0	0	0
NB	AAV9K449R_PHP.B	0	0	0
NB	AAV9K449R_PHP.eB	0	0	0
NB	AAV9LD	0	0	0
NB	AAV9_P1	0	0	0
NB	AAV9_P3	0	0	0
NB	AAVAH3-10	0	0	0
NB	AAVAH3-17	0	0	0
NB	AAVAH3-18	0	0	0
NB	AAVAH3-N2	0	0	0
NB	AAVAH3-N5	0	0	0
NB	AAVAH3-N6	0	0	0
NB	AAVAH3-N8	0	0	0
NB	AAVAH3-N9	0	0	0
NB	AAVAH4-7	0	0	0
NB	AAVAH4-N11	0	0	0
NB	AAVAH4-N3	0	0	0
NB	AAVAH4-N5	0	0	0
NB	AAVAH4-N6	0	0	0
NB	AAVAnc80L65	0	0	0
NB	AAVJEA2-D10	0	0	0
NB	AAVJEA2-D16	0	0	0
NB	AAVJEA2-H2	0	0	0
NB	AAVJEA2-S11	0	0	0
NB	AAVJEA3-D12	0	0	0
NB	AAVJEA3-D16	0	0	0
NB	AAVJEA3-D2	0	0	0
NB	AAVJEA3-D20	0	0	0
NB	AAVJEA3-D5	0	0	0
NB	AAVJEA3-D7	0	0	0
NB	AAVJEA3-H13	0	0	0
NB	AAVJEA3-H19	0	0	0
NB	AAVJEA3-H20	0	0	0
NB	AAVJEA3-H3	0	0	0
NB	AAVJEA3-H5	0	0	0
NB	AAVJEA3-S1	0	0	0
NB	AAVJEA3-S2	0	0	0
NB	AAVJEA3-S4	0	0	0
NB	AAVJEA3-S5	0	0	0
NB	AAVLK03	0	0	0
NB	AAVM41	0	0	0
NB	AAVpo1_A1	0	0	0
NB	AAVpo1wt	0	0	0
NB	AAVrh10_P2	0	0	0
NB	AAVrh10wt	0	0	0
