population	serotype	average	In vitro 1	In vitro 2
NSC	AAV1_P4	0.24712453278431312	0.2610792866059249	0.23316977896270136
NSC	AAV1_P5	0.15970028868601982	0.16510520790255934	0.15429536946948028
NSC	AAV6.2	0.05624440677715146	0.05372695902795754	0.05876185452634538
NSC	AAVDJ	0.04875463973164508	0.05369842247009937	0.04381085699319079
NSC	AAV1_A2	0.04774933840337459	0.05267987838119017	0.04281879842555902
NSC	AAV6shH10	0.04610316531925694	0.041405683135257935	0.05080064750325594
NSC	AAV6wt	0.03831625197061131	0.03603067959326127	0.04060182434796135
NSC	AAV9_K3	0.03188250201656268	0.03090805101108394	0.03285695302204142
NSC	AAV7_P2	0.029836650706452007	0.0268482525684163	0.03282504884448771
NSC	AAVJEA3-S7	0.029381860279742773	0.02695491090419793	0.031808809655287616
NSC	AAVDJYF	0.026583620711500593	0.029648544681442655	0.023518696741558532
NSC	AAV8_P2	0.02639075520472007	0.02524391130190037	0.02753759910753977
NSC	AAVAH4-N1	0.025938194687870533	0.025633819361602063	0.026242570014139002
NSC	AAV2_7m8	0.022694663207049097	0.020281817135276995	0.0251075092788212
NSC	AAVAH4-3	0.020866931711888213	0.01818766381496981	0.023546199608806613
NSC	AAV1_A1	0.01868861632128969	0.02082465114658898	0.016552581495990402
NSC	AAV1_A6	0.016541961841541122	0.016184284631422463	0.016899639051659778
NSC	AAVJEA3-D2	0.014924927778075733	0.014408538327174482	0.015441317228976983
NSC	AAV6_P4	0.013927942051953902	0.017559259617625108	0.010296624486282695
NSC	AAV7_A2	0.010903925205489096	0.008128044945401538	0.013679805465576653
NSC	AAVrh10_A2	0.008235774408663011	0.006555582758004953	0.009915966059321069
NSC	AAVrh10_P2	0.007836390348273518	0.0074400378530575335	0.008232742843489502
NSC	AAV7_A6	0.007403754326081214	0.006331714619876825	0.008475794032285603
NSC	AAV9_A2	0.0042788120152081706	0.00301921485305408	0.0055384091773622605
NSC	AAVAH4-N4	0.0034561966802028445	0.003141442129318662	0.0037709512310870274
NSC	AAVrh10_A6	0.002841877851692654	0.002185077827300453	0.003498677876084855
NSC	AAV5_A2	0.002037624951443554	0.0012857340469536079	0.002789515855933501
NSC	AAVrh10_P5	0.002019687045450969	3.4746756143655546e-4	0.003691906529465382
NSC	AAV2_P2	0.0019398939269309277	0.001923525246106329	0.0019562626077555263
NSC	AAV9_P1	0.0016055462282265332	0.0015679978898632515	0.0016430945665898149
NSC	AAV9_P4	0.0015371708243668908	8.604756873206876e-4	0.002213865961413094
NSC	AAV9_K1	0.0013239182685677651	0.0010742479628909351	0.001573588574244595
NSC	AAV5_A6	0.001258880701623884	0.001114451355408148	0.0014033100478396197
NSC	AAV7_P4	0.0011683273915497538	8.334560166203608e-4	0.0015031987664791467
NSC	AAV1wt	0.0011086490468488195	9.191821108845659e-4	0.001298115982813073
NSC	AAV9_A6	8.921945709490026e-4	4.933506124332025e-4	0.0012910385294648027
NSC	AAVAH3-5	7.189410617148696e-4	5.481687704918954e-4	8.89713352937844e-4
NSC	AAVAH3-3	6.973997726050725e-4	4.8128724446999904e-4	9.13512300740146e-4
NSC	AAV4_P4	6.535918881494867e-4	8.387962533740682e-4	4.683875229249053e-4
NSC	AAVB1	6.528536131312683e-4	6.316047367919236e-4	6.74102489470613e-4
NSC	AAV8_P5	6.478328209944637e-4	4.657271355716066e-4	8.299385064173207e-4
NSC	AAV4_P5	6.219494248087163e-4	9.74238812187109e-4	2.6966003743032367e-4
NSC	AAV4_A1	6.218532239645134e-4	7.635031446906621e-4	4.802033032383647e-4
NSC	AAVrh10_P4	6.117827191929782e-4	5.082075435850475e-4	7.15357894800909e-4
NSC	AAV2wt	5.542939956028116e-4	5.94592254630092e-4	5.139957365755313e-4
NSC	AAVJEA3-S2	5.22934167042672e-4	5.665101647699672e-4	4.7935816931537676e-4
NSC	AAV8_A2	4.846174773894974e-4	3.726413899122672e-4	5.965935648667276e-4
NSC	AAV8_P4	4.654104955466673e-4	0.00041780913074061213	5.130118603527225e-4
NSC	AAVAH4-N9	4.6079652767425485e-4	4.084560383350434e-4	5.131370170134664e-4
NSC	AAVAH4-N3	4.4119609520246005e-4	4.793482904446428e-4	4.030438999602773e-4
NSC	AAVrh10_A1	4.4018563111742454e-4	3.043862613310271e-4	5.759850009038219e-4
NSC	AAV4wt	4.153973357822568e-4	3.6339295312292415e-4	4.6740171844158947e-4
NSC	AAVM41	4.135621167449742e-4	2.3476059935091111e-4	5.923636341390373e-4
NSC	AAV8_A6	4.0367918806736387e-4	3.32957394088407e-4	4.7440098204632066e-4
NSC	AAV4_L1	4.0332249943404177e-4	4.0733481883036595e-4	3.9931018003771764e-4
NSC	AAVAH4-6	3.972388272693675e-4	3.4150345372618347e-4	4.529742008125515e-4
NSC	AAVAH4b-10	3.889142419283737e-4	3.495378710440967e-4	4.282906128126506e-4
NSC	AAVJEA2-H8	3.753295426062231e-4	1.4900758533096416e-4	6.01651499881482e-4
NSC	AAV2YF	3.65805261788808e-4	1.8269033758685376e-4	5.489201859907622e-4
NSC	AAV7_A1	3.623717103557523e-4	3.3757882156733364e-4	3.87164599144171e-4
NSC	AAV2_MTP	3.474273254759762e-4	1.0542648878969084e-4	5.894281621622615e-4
NSC	AAV9_A1	3.369700603391739e-4	3.1456593147558974e-4	3.59374189202758e-4
NSC	AAV7_P5	3.1627175430503013e-4	2.6850300819913496e-4	3.6404050041092525e-4
NSC	AAVJEA3-D16	2.704826096670003e-4	1.271025306752678e-4	4.138626886587329e-4
NSC	AAV7wt	2.5013018917626763e-4	2.158461384211289e-4	2.844142399314064e-4
NSC	AAV4_P2	2.450353243768225e-4	2.891157764938963e-4	2.0095487225974868e-4
NSC	AAV5_P4	2.1573035333606635e-4	3.122220396531623e-5	4.0023850270681647e-4
NSC	AAVpo1_A6	2.0890640389981008e-4	2.2475725103571987e-4	1.9305555676390028e-4
NSC	AAVAnc80L65	2.0733091995875756e-4	1.7749187758270477e-4	2.3716996233481036e-4
NSC	AAVAH4-7	1.991491557614336e-4	1.0589606656804394e-4	2.924022449548232e-4
NSC	AAVAH3-N10	1.7478860050300734e-4	9.996998951111677e-5	2.496072114948979e-4
NSC	AAV3_A6	1.6486735993644837e-4	3.2065177354463674e-4	9.082946328260002e-6
NSC	AAV4_A6	1.536408520986653e-4	1.6919148852756683e-4	1.380902156697638e-4
NSC	AAVAH4-N11	1.4705294442794148e-4	9.002908561308062e-5	2.0407680324280233e-4
NSC	AAVLK03	1.4209919192074652e-4	1.9077047375170374e-4	9.34279100897893e-5
NSC	AAVAH4-N7	1.359133434421709e-4	5.4319320830818936e-5	2.1750736605352284e-4
NSC	AAV9_P5	1.3066047137837608e-4	1.3775439462824794e-4	1.2356654812850423e-4
NSC	AAVAH3-N8	1.2613590346601252e-4	0	2.5227180693202504e-4
NSC	AAV9K449R_PHP.S	1.2307938495212414e-4	9.042468367237783e-5	1.5573408623187045e-4
NSC	AAVpo1_A2	1.1075013959972786e-4	7.626334971299498e-5	1.4523692948646076e-4
NSC	AAV4_A2	1.0838373394162801e-4	2.1676746788325602e-4	0
NSC	AAVJEA2-D16	1.0235340143748247e-4	1.4170453160425078e-4	6.300227127071415e-5
NSC	AAVJEA2-D10	9.997606351902483e-5	9.560894349437676e-6	1.90391232688612e-4
NSC	AAV8_A1	9.823282001533744e-5	1.3884492958597384e-4	5.762071044470103e-5
NSC	AAV3wt	8.678487525565261e-5	8.41731769170603e-5	8.93965735942449e-5
NSC	AAVAH3-18	8.374241499013903e-5	9.201856631584385e-5	7.54662636644342e-5
NSC	AAVrh10wt	8.125590948045587e-5	4.012814731830216e-5	1.2238367164260955e-4
NSC	AAV8wt	7.368731666277955e-5	0	1.473746333255591e-4
NSC	AAVAH3-17	7.246539991183545e-5	3.2608993985206484e-5	1.1232180583846441e-4
NSC	AAVAH3-N5	7.033858735211465e-5	4.84603318516339e-5	9.221684285259539e-5
NSC	AAV3_A1	6.886214188290563e-5	8.571860290637022e-5	5.200568085944104e-5
NSC	AAVAH4-N12	6.768421618839879e-5	3.927843399239368e-5	9.608999838440391e-5
NSC	AAV5_P5	6.747962304523271e-5	2.7398879756034956e-5	1.0756036633443046e-4
NSC	AAV9wt	5.904247700797749e-5	5.0875759724536336e-5	6.720919429141865e-5
NSC	AAVAH3-10	5.80828994687237e-5	0	1.161657989374474e-4
NSC	AAVJEA2-H17	5.793088240853015e-5	8.758017783720217e-5	2.828158697985814e-5
NSC	AAV5wt	5.7457111825366135e-5	1.1491422365073227e-4	0
NSC	AAVpo1_P5	5.740552135424363e-5	3.437439682415618e-5	8.043664588433107e-5
NSC	AAVpo1_P4	5.328755731350358e-5	2.7377178756755223e-5	7.919793587025193e-5
NSC	AAVJEA3-H4	5.185065722064601e-5	3.132089014098266e-5	7.238042430030936e-5
NSC	AAVAH4-1	5.023858385836329e-5	5.3231130365087377e-5	4.7246037351639205e-5
NSC	AAVAH3-N12	4.931452222984049e-5	6.296019181374035e-5	3.566885264594062e-5
NSC	AAVJEA2-D3	4.923379360500564e-5	9.066057010517673e-5	7.807017104834544e-6
NSC	AAVJEA2-S11	4.878058030695422e-5	9.756116061390844e-5	0
NSC	AAV2_A2	4.766432885841495e-5	0	9.53286577168299e-5
NSC	AAVJEA3-D4	4.654527678751079e-5	0	9.309055357502157e-5
NSC	AAV9K449R_PHP.A	3.945562168951926e-5	6.035069087697604e-5	1.856055250206249e-5
NSC	AAVJEA3-S8	3.7975230445845994e-5	0	7.595046089169199e-5
NSC	AAVJEA2-D1	3.686496643176265e-5	3.0652988982369764e-5	4.307694388115553e-5
NSC	AAVJEA3-H3	3.561248171007209e-5	4.327563418653487e-5	2.7949329233609308e-5
NSC	AAVJEA3-S4	3.451616449587819e-5	0	6.903232899175638e-5
NSC	AAVAH3-N6	3.1216690907940235e-5	1.4478907596716892e-5	4.7954474219163573e-05
NSC	AAVAH4-N6	2.729934078985831e-5	3.549509115719383e-5	1.9103590422522786e-5
NSC	AAVJEA2-H11	2.7172210335610654e-5	3.999434887023461e-5	1.4350071800986695e-5
NSC	AAV2_A1	2.6849434102131208e-5	2.92285535916024e-5	2.447031461266001e-5
NSC	AAVAH3-21	2.6092533052835318e-5	1.364112324997162e-5	3.854394285569902e-5
NSC	AAVJEA3-H13	2.5510881159896637e-5	5.1021762319793274e-5	0
NSC	AAV3_P4	2.518099678837537e-5	1.7339817097606557e-5	3.302217647914418e-5
NSC	AAV9_P3	2.4361680519660066e-5	4.872336103932013e-5	0
NSC	AAV9K449R_PHP.eB	2.4071128453954285e-5	5.640666732681558e-6	4.250159017522701e-5
