population	serotype	average	Set4	Set5	Set6
OL	AAVJEA2-H8	0.11193880765430383	0.010809086279077085	0.32496307100382565	4.426568000876071e-5
OL	AAV7wt	0.11172575340282861	0.3350832226026555	5.2886894142645404e-5	4.1150711687712646e-5
OL	AAV9_A2	0.10972602152460599	7.536150866879802e-4	0.1923999836183336	0.1360244658687964
OL	AAV9_A6	0.06510839905272285	1.2962483022226374e-4	0.034954523363519	0.16024104896442729
OL	AAVrh10_A2	0.064243541316625	4.6187923577768615e-5	0.06794551680944305	0.12473891921685418
OL	AAV9_P4	0.047731989245531486	0.0029461731100771916	0.03600607862629824	0.10424371600021903
OL	AAV1_P5	0.0469741363753839	9.437338278747701e-5	0.03629135470754661	0.1045366810358176
OL	AAV7_P4	0.03309259652927388	0.01723533515501406	0.05517700001085327	0.02686545442195431
OL	AAVAH4-1	0.024815905719249895	0.07442457543738287	1.0657480344225594e-5	1.2484240022581425e-5
OL	AAVJEA2-H11	0.021530367550041882	0.06454348906737219	2.4878105606398326e-5	2.2735477147062948e-5
OL	AAV5_A2	0.020000199272428524	0.025075105807925924	0.008863401367113987	0.026062090642245662
OL	AAV1_A2	0.01997554028385274	0.03736665215818616	4.2141262051773004e-5	0.022517827431320293
OL	AAV9_A1	0.017212958386187603	0.024472268964305186	0.012938226131722075	0.014228380062535547
OL	AAVB1	0.016629962544996376	0.04497604909674107	0.004862896715827259	5.094182242079833e-5
OL	AAV6wt	0.016621647925577514	9.39237659424009e-6	0.0033512412682459645	0.04650431013189234
OL	AAV9_P5	0.01614043427204412	6.013464304112369e-5	0.033099552031819385	0.01526161614127185
OL	AAV1_P4	0.014240111246689514	0.0178470987205441	0.006590058511429492	0.018283176508094953
OL	AAVJEA2-H17	0.013408691588710596	0.04017283762809388	3.300135024191406e-5	2.0235787795998407e-5
OL	AAV8_P4	0.01290991081809838	5.966762177792914e-6	0.005270317014467721	0.03345344867764963
OL	AAV7_A1	0.012905446298276104	1.0475950152703696e-4	0.005679186736305424	0.03293239265699585
OL	AAVAH4-N9	0.012591792018413227	0.029332379155618198	6.34542495840645e-5	0.008379542650037418
OL	AAVAH3-3	0.012542454177126246	0.03759673363417809	2.1022794651506147e-5	9.606102549138414e-6
OL	AAVpo1_A6	0.012153166281863866	4.560875927923528e-5	0.01660099185682233	0.01981289822949003
OL	AAV2wt	0.011911535385780282	1.4398436567356354e-5	2.5210270033178087e-5	0.03569499745074031
OL	AAV5_A6	0.011834723355364736	5.5637152043984644e-5	0.03537681264005737	7.172027399285577e-5
OL	AAV7_P5	0.011774426056357357	0.019522550785350718	0.0033561949263912504	0.012444532457330102
OL	AAV7_A2	0.010487852377143475	8.897832660890977e-5	0.008836439616188655	0.022538139188632858
OL	AAV5_A1	0.0103157566383453	2.314276249875761e-6	0.030940501358684154	4.4542801018729085e-6
OL	AAVpo1_A2	0.008387457411232525	3.755979567977563e-5	1.4400090243629746e-4	0.0249808115355815
OL	AAVrh10_A1	0.00799599298590396	0.02391500118365042	6.92980988050727e-5	3.6796752563869773e-6
OL	AAV9wt	0.007807556935619503	0.021289574942581248	0.002123045534289129	1.0050329988132377e-5
OL	AAV1wt	0.006387295540502791	4.139479069788755e-5	0.01157805085154615	0.007542440979264336
OL	AAV8_A1	0.006254750252014975	0.01875727542733979	5.042754269574141e-6	1.9325744355617303e-6
OL	AAV9K449R_PHP.S	0.005956448331766411	0.01785219852216357	9.518861395751982e-6	7.627611739910663e-6
OL	AAV9BI	0.005793304493257419	0.017368469829445274	4.710535200147343e-6	6.733115126836222e-6
OL	AAV2_MTP	0.005310378233222628	0.015918610675114804	9.148008132130607e-6	3.3760164209491222e-6
OL	AAVAH3-5	0.005247544971433754	0.015711904530894116	1.6994228538613795e-5	1.3736154868531214e-5
OL	AAVAH4-3	0.004719292305512327	4.009220772689677e-6	0.014148803720059036	5.063975705256703e-6
OL	AAV8_P5	0.004580992829527619	0.01370796847047804	3.0356512027675297e-5	4.653506077143179e-6
OL	AAVAH3-N4	0.003538857490498765	0.010602789844933198	9.181334477583257e-6	4.601292085514564e-6
OL	AAVJEA2-D7	0.0034770260421883754	0.01042282838693721	4.3552133212592e-6	3.8945263066565895e-6
OL	AAVDJYF	0.003186895550181021	0.00955016606458783	5.372868844746982e-6	5.147717110485429e-6
OL	AAVJEA3-H4	0.003164517363238806	0.009462918344494548	1.912724342041141e-5	1.1506501801458516e-5
OL	AAV2_A1	0.0030378845302798272	1.5594691034003135e-5	0.0090878752214505	1.0183678354977502e-5
OL	AAVpo1_P5	0.0028137166225926644	8.787682967125926e-7	0.008440024442445335	2.466570359460515e-7
OL	AAVJEA3-H15	0.002792619215163742	0.008377494815554113	1.4324393361983232e-7	2.1958600349278376e-7
OL	AAV5_P4	0.0027755774856179204	1.1126196931292408e-6	0.008324682950349846	9.368868107865527e-7
