population	serotype	average	Set1	Set3
TAP	AAV9_A2	0.5457679445346584	0.9985031372353812	0.09303275183393558
TAP	AAV9_P4	0.11187364764344555	1.500970189880395e-4	0.22359719826790306
TAP	AAV7_A2	0.0804948932580075	5.727432805168922e-5	0.1609325121879633
TAP	AAV1wt	0.048236831902573975	5.424314477296262e-5	0.09641942066037498
TAP	AAVrh10_A2	0.04097904709315029	8.750266886359171e-5	0.08187059151743699
TAP	AAV7_A1	0.037500457574709975	1.0815974816887613e-4	0.07489275540125108
TAP	AAV1_P5	0.0303904943490828	7.820783760612807e-5	0.060702780860559476
TAP	AAVpo1_A2	0.018405794506438193	4.2787402161410546e-5	0.036768801610714975
TAP	AAV1_P4	0.01551042225942522	9.284627097379711e-5	0.030927998247876645
TAP	AAVAH4-N9	0.010214766086601143	2.2758301825692777e-5	0.020406773871376592
TAP	AAV7_P5	0.009380104827811774	1.8500252778249252e-5	0.018741709402845298
TAP	AAVAH4-N4	0.009007470788605311	5.8375793522525694e-6	0.01800910399785837
TAP	AAV7_P2	0.006118658139316601	2.214305697894698e-5	0.012215173221654255
TAP	AAV5_P5	0.006084293356688468	3.526537726792065e-6	0.012165060175650144
TAP	AAV5_A2	0.005128954811777966	6.284250891124198e-5	0.01019506711464469
TAP	AAV9_A6	0.004384051602808214	8.8672739418074e-5	0.008679430466198354
TAP	AAV7_A6	0.004283644278006712	1.1153997624518307e-5	0.008556134558388906
TAP	AAV5_A6	0.0038648086578726244	7.208194547025171e-5	0.007657535370274997
TAP	AAVAH4-N12	0.002533810319914553	7.813149394383963e-7	0.005066839324889667
TAP	AAVB1	0.0024262722685157766	2.342383585328984e-5	0.004829120701178263
TAP	AAV7_P4	0.0023984187934631895	4.23046758752409e-5	0.004754532911051138
TAP	AAV9_A1	0.001811707957888419	5.911759607458698e-5	0.0035642983197022512
TAP	AAVJEA3-H4	0.0013649923206726835	9.292588819618023e-6	0.0027206920525257488
TAP	AAV8_P5	0.0012686022901125132	2.5529477400464963e-6	0.00253465163248498
TAP	AAV7wt	6.449050480358301e-5	3.745749849263782e-5	9.152351111452821e-5
TAP	AAV9_P5	4.8861053502590886e-5	2.100796610081465e-5	7.671414090436712e-5
TAP	AAVJEA2-H8	4.7559065475636065e-5	2.7822217210259618e-5	6.729591374101251e-5
TAP	AAVpo1_A6	3.7808254665418095e-5	2.285077836494401e-5	5.276573096589218e-5
