population	serotype	average	Set1	Set2	Set3
aNSC	AAV9_A2	0.2750043691779896	0.2609509377883194	0.2150598325190004	0.349002337226649
aNSC	AAV1_P5	0.11336420734876981	0.25914336040417485	0.030549257824609214	0.05040000381752538
aNSC	AAVAH4-N9	0.10930989436594593	0.2856956266460778	3.9373219874221603e-5	0.042194683231885785
aNSC	AAV1wt	0.06624096417612173	0.18627832141821016	4.6964487992696924e-5	0.012397606622162348
aNSC	AAV9_P4	0.06575804074821491	4.611331158332401e-4	0.15724750492398754	0.03956548420482395
aNSC	AAV7_A2	0.06167732845441633	1.6045532128666114e-4	0.09506374193740454	0.08980778810455779
aNSC	AAV5_A2	0.05716193297155942	2.025261496099234e-4	0.1712172768530432	6.59959120251572e-5
aNSC	AAV9_A6	0.044075912019509784	3.556983519624166e-4	0.05699900644569146	0.07487303126087547
aNSC	AAV7_A1	0.03769111434199459	1.9944396034837113e-4	0.05763574619610074	0.055238152869534665
aNSC	AAV7_P2	0.025655941806802664	5.990177601863247e-5	2.6541384737842007e-5	0.07688138225965152
aNSC	AAVrh10_A2	0.024591909441281593	3.661607562813349e-4	0.07333957075148141	6.999681608203451e-5
aNSC	AAV1_P4	0.015145742878308015	1.073381809919059e-4	0.03804164989271667	0.00728824056121547
aNSC	AAV8_P5	0.013207551082966246	6.177480350444905e-6	5.483038061355142e-6	0.03961099273048694
aNSC	AAV8_P4	0.01039206626197314	3.775529876249297e-5	7.617835647132938e-6	0.031130825651509795
aNSC	AAV7_P4	0.010192796687730434	1.1873887173999585e-4	0.02509312210777025	0.005366529083681057
aNSC	AAV5_A6	0.009262133342122229	8.644959461317546e-4	5.213338948308454e-5	0.02686977069075185
aNSC	AAVpo1_A2	0.008783589190265095	6.930694336055249e-5	4.01196768422158e-5	0.026241340950592516
aNSC	AAVAH4-3	0.008138688869053886	4.969775979068875e-6	0.02440647450855876	4.6223226238282985e-6
aNSC	AAV7_P5	0.00734978384460716	5.850386800109628e-5	2.2489744387551824e-5	0.02196835792143283
aNSC	AAVB1	0.007120433605350535	7.626259533893678e-5	0.021227091765507446	5.794645520522262e-5
aNSC	AAV1_A6	0.005660002344323036	4.661399289943811e-5	0.016894044967206794	3.9348072862876706e-5
aNSC	AAVJEA3-H4	0.005054821380205254	3.007821964000569e-5	1.0672086132700128e-5	0.015123713834843056
aNSC	AAVAH3-5	0.0043966727394663925	2.4539366705947068e-5	1.0275260276058397e-5	0.013155203591417173
aNSC	AAV9wt	0.004362653857967852	2.827759472579402e-5	7.478116030210098e-6	0.013052205863147552
aNSC	AAVJEA3-S7	0.0032194830681208943	1.8831191352272362e-6	0.009653838800308373	2.7272849190825583e-6
aNSC	AAV7_A6	0.0030335325739348465	1.0392614009142313e-4	1.8255615965117227e-5	0.008978415965747999
aNSC	AAV6wt	0.0022768845912283556	2.2667806768220157e-5	0.0067992109916589	8.774975257946321e-6
aNSC	AAV9_K3	0.0011837260284494945	0.003550234420564063	3.5907961756399106e-7	5.845851668566024e-7
aNSC	AAV9_A1	7.617692649516926e-5	9.207068617092212e-5	7.38908600961476e-5	6.256923321843808e-5
aNSC	AAV7wt	6.375239457871224e-5	4.2608873232344015e-5	5.604863221825228e-5	9.259967828554043e-5
aNSC	AAV9_P5	6.237998609017823e-5	8.563413278966667e-5	2.8803364515914718e-5	7.270246096495331e-5
aNSC	AAVJEA2-H8	5.021237090412801e-5	6.52134062022172e-5	5.142385003934755e-5	3.399985647081927e-5
aNSC	AAVpo1_A6	4.7633301962495565e-5	6.648513402489819e-5	3.209257591993949e-5	4.432219594264901e-5
aNSC	AAV4_P4	3.9007178964414713e-5	5.753654656386247e-5	1.4167348892995791e-5	4.5317641436385886e-5
aNSC	AAVAH3-N6	2.9712076967650162e-5	8.913623090295048e-5	0	0
aNSC	AAVrh10_P4	2.8773232215797264e-5	7.29597026547045e-5	8.804378199834913e-6	4.555615792852384e-6
aNSC	AAV1_A2	2.7593512584777116e-5	4.128539354361885e-5	1.8077875258207884e-5	2.3417268952504615e-5
aNSC	AAVJEA2-H17	2.305858447546377e-5	3.13982967138069e-5	1.3497439187568886e-5	2.428001752501552e-5
aNSC	AAVpo1_P4	2.047535045275019e-5	4.5274062440216626e-5	8.112365302548937e-6	8.039623615485007e-6
aNSC	AAVrh10_P2	1.8820685297769615e-5	5.6462055893308844e-5	0	0
aNSC	AAV4_A1	1.786510787494624e-5	1.8850439190130035e-5	1.7895979678196816e-5	1.684890475651187e-5
aNSC	AAV4_P5	1.6632186262202896e-5	1.5522547079318152e-5	1.664044861566593e-5	1.773356309162461e-5
aNSC	AAV2wt	1.4260682892874922e-5	1.3161104635715214e-5	1.3578128494930661e-5	1.604281554797889e-5
aNSC	AAVJEA2-H11	1.4170248859451846e-5	1.5024229486606881e-5	1.678120232961913e-5	1.0705314762129528e-5
aNSC	AAVAH4-1	1.3414794945283624e-5	1.6259746840577027e-5	1.2282341297209963e-5	1.170229669806388e-5
aNSC	AAV2_A1	1.2554928947019351e-5	1.3260825661872479e-5	1.3244339677340636e-5	1.1159621501844939e-5
aNSC	AAV9K449R_PHP.S	9.38637732059571e-6	1.273420836887135e-5	4.891326678189914e-6	1.0533596914725868e-5
aNSC	AAVAH3-3	8.472949413948849e-6	1.019151885253096e-5	8.473940074354656e-6	6.75338931496093e-6
aNSC	AAVAH4-N4	8.360439262685946e-6	9.25961274873528e-6	7.582230937699609e-6	8.239474101622949e-6
aNSC	AAVDJYF	7.4081527270430765e-6	1.0367130607122408e-5	4.998539788734972e-6	6.8587877852718505e-6
aNSC	AAV6shH10	7.1301296407122985e-6	8.618024767332726e-6	5.385950004174226e-6	7.386414150629944e-6
aNSC	AAVAH3-N4	7.033008817074005e-6	9.723373987167742e-6	4.754067477802574e-6	6.621584986251697e-6
aNSC	AAV5_P5	6.353655518879185e-6	4.290789719041199e-6	6.119653313849135e-6	8.650523523747221e-6
aNSC	AAV3_P4	4.707645701966255e-6	4.6403047675328094e-6	2.7296667045278928e-6	6.752965633838063e-6
aNSC	AAVrh10_A1	4.089749093657208e-6	2.7707617837631383e-6	4.650446915062686e-6	4.848038582145799e-6
aNSC	AAVJEA2-D7	3.7816942839705925e-6	6.882498074516791e-6	2.8383692454106246e-6	1.6242155319843615e-6
aNSC	AAV9BI	3.7615123995709096e-6	5.436943605183615e-6	3.388554468110296e-6	2.4590391254188184e-6
aNSC	AAV8_A1	3.5483282676825876e-6	1.2021823585388773e-6	2.1857421042179487e-6	7.257060340290936e-6
aNSC	AAV2_7m8	3.4796759917939047e-6	1.6841464935714723e-6	5.483278661893592e-6	3.27160281991665e-6
aNSC	AAVJEA3-S8	3.266397019804593e-6	8.615883442026849e-6	1.1833076173869295e-6	0
aNSC	AAV8_A2	3.1459535498144937e-6	1.6949325594831242e-6	5.042990309656729e-6	2.699937780303628e-6
aNSC	AAVAH4-N12	2.970865328465242e-6	3.645081461421685e-6	3.6537594038086334e-6	1.6137551201654075e-6
aNSC	AAV6.2	2.691305858813658e-6	3.7287792154772678e-6	1.7973833060137257e-6	2.547755054949981e-6
aNSC	AAV2_MTP	2.4627840955956005e-6	4.985886774672256e-6	2.023396520568319e-6	3.7906899154622726e-7
aNSC	AAV8_P2	1.8739190331548021e-6	3.0621219349615357e-6	7.501527544564187e-7	1.809482410046452e-6
aNSC	AAVJEA3-H15	1.8635711147084777e-6	8.149208060703666e-7	2.251338756933713e-6	2.5244537811213537e-06
aNSC	AAV1_A1	1.5133300571789538e-6	2.2721999383345564e-6	1.979762763428574e-6	2.880274697737309e-7
aNSC	AAVpo1_P5	1.43934798095423e-6	1.8307719741589933e-6	5.949025255668e-7	1.892369443136897e-6
aNSC	AAVJEA3-D20	1.208168300447849e-6	3.624504901343547e-6	0	0
aNSC	AAVJEA2-H1	1.1182196880600851e-6	1.6767929107552892e-6	3.1238809646643763e-7	1.3654780569585282e-6
aNSC	AAVDJ	1.0173781211360387e-6	2.115885960852542e-6	0	9.362484025555743e-7
aNSC	AAVAH3-N5	9.242650124224224e-7	2.3886405646217845e-6	3.8415447264548276e-7	0
aNSC	AAV6_P4	8.515895664233848e-7	1.1017297272611182e-6	5.622712168412826e-7	8.907677551677539e-7
aNSC	AAVJEA2-D3	8.514328801343599e-7	0	2.5542986404030797e-6	0
aNSC	AAV5_A1	7.404073795279706e-7	1.3775489152859243e-6	8.436732232979876e-7	0
aNSC	AAVAH4-N1	6.71744315262671e-7	0	2.0453821489786163e-7	1.8106947308901516e-6
aNSC	AAV4_L1	6.49366588918247e-7	7.425218999572478e-7	0	1.2055778667974933e-6
aNSC	AAVJEA3-D2	5.956340288433498e-7	1.123851658113374e-6	0	6.630504284166752e-7
aNSC	AAV3_P5	5.813714539848697e-7	1.365851548984403e-6	3.7826281297020603e-7	0
aNSC	AAVJEA2-D1	5.078851159658552e-7	6.953541878775853e-7	2.1293316792989208e-7	6.153679920900882e-7
aNSC	AAVAH4b-10	4.1708736699537453e-7	0	4.0096210043743863e-7	8.50300000548685e-7
aNSC	AAV5_P4	3.9932549474580883e-7	0	0	1.1979764842374266e-6
aNSC	AAVJEA3-D4	3.6550841410863024e-7	0	0	1.0965252423258907e-6
aNSC	AAVrh10_A6	2.995069377245508e-7	0	6.550457201474507e-7	2.4347509302620164e-7
aNSC	AAV2_L1mut2	2.822954468903919e-7	0	0	8.468863406711758e-7
aNSC	AAVJEA3-D16	2.162463105450818e-7	6.487389316352454e-7	0	0
aNSC	AAVAH4-N11	1.946148008298619e-7	3.286875516391123e-7	0	2.551568508504734e-7
aNSC	AAV3wt	1.527555335237362e-7	4.5826660057120857e-7	0	0
aNSC	AAVAH3-N10	1.4027568823281596e-7	4.208270646984479e-7	0	0
aNSC	AAVrh10wt	1.342641085548596e-7	0	0	4.0279232566457886e-7
aNSC	AAVAH3-N1	1.0976248303703728e-7	0	9.54864096534029e-8	2.3380103945770892e-7
aNSC	AAVrh10_P5	1.0512777686681345e-7	0	0	3.1538333060044034e-7
aNSC	AAVJEA3-H20	5.422525845908974e-8	0	1.6267577537726921e-7	0
aNSC	AAV2_A2	0	0	0	0
aNSC	AAV2_BR1	0	0	0	0
aNSC	AAV2HBKO	0	0	0	0
aNSC	AAV2_L1	0	0	0	0
aNSC	AAV2_L1mut1	0	0	0	0
aNSC	AAV2_P2	0	0	0	0
aNSC	AAV2_P4	0	0	0	0
aNSC	AAV2_P5	0	0	0	0
aNSC	AAV2YF	0	0	0	0
aNSC	AAV3_A1	0	0	0	0
aNSC	AAV3_A6	0	0	0	0
aNSC	AAV4_A2	0	0	0	0
aNSC	AAV4_A6	0	0	0	0
aNSC	AAV4_P2	0	0	0	0
aNSC	AAV4wt	0	0	0	0
aNSC	AAV5wt	0	0	0	0
aNSC	AAV8_A6	0	0	0	0
aNSC	AAV8wt	0	0	0	0
aNSC	AAV9_BR1	0	0	0	0
aNSC	AAV9_K1	0	0	0	0
aNSC	AAV9K449R_PHP.A	0	0	0	0
aNSC	AAV9K449R_PHP.eB	0	0	0	0
aNSC	AAV9_P1	0	0	0	0
aNSC	AAV9_P3	0	0	0	0
aNSC	AAVAH3-10	0	0	0	0
aNSC	AAVAH3-17	0	0	0	0
aNSC	AAVAH3-18	0	0	0	0
aNSC	AAVAH3-21	0	0	0	0
aNSC	AAVAH3-N12	0	0	0	0
aNSC	AAVAH3-N2	0	0	0	0
aNSC	AAVAH3-N8	0	0	0	0
aNSC	AAVAH4-6	0	0	0	0
aNSC	AAVAH4-7	0	0	0	0
aNSC	AAVAH4-N3	0	0	0	0
aNSC	AAVAH4-N5	0	0	0	0
aNSC	AAVAH4-N6	0	0	0	0
aNSC	AAVAH4-N7	0	0	0	0
aNSC	AAVAnc80L65	0	0	0	0
aNSC	AAVJEA2-D10	0	0	0	0
aNSC	AAVJEA2-D16	0	0	0	0
aNSC	AAVJEA2-H2	0	0	0	0
aNSC	AAVJEA2-S11	0	0	0	0
aNSC	AAVJEA3-D12	0	0	0	0
aNSC	AAVJEA3-D5	0	0	0	0
aNSC	AAVJEA3-D7	0	0	0	0
aNSC	AAVJEA3-H13	0	0	0	0
aNSC	AAVJEA3-H19	0	0	0	0
aNSC	AAVJEA3-H3	0	0	0	0
aNSC	AAVJEA3-S10	0	0	0	0
aNSC	AAVJEA3-S2	0	0	0	0
aNSC	AAVJEA3-S4	0	0	0	0
aNSC	AAVJEA3-S5	0	0	0	0
aNSC	AAVLK03	0	0	0	0
aNSC	AAVM41	0	0	0	0
aNSC	AAVpo1_A1	0	0	0	0
